text,Ravi,Niranjana,Priya,
"Twitter और Facebook यूज करने के लिए अब दसवीं पास होना ज़रूरी, 80% यूजर घटे http:// hindi.fakingnews.firstpost.com/social-media/1 0th-pass-compulsory-for-twitter-facebook-users-1955 … from @hindifakingnews",,,,
Man invents trousers that automatically roll up as one enters waterlogged area http://www. fakingnews.firstpost.com/india/man-inve nts-trousers-automatically-roll-one-enters-waterlogged-area-17407 … by @bija_hem,,,,
Restaurant manager doubts if the family is upper class after they clean up their plates http://www. fakingnews.firstpost.com/society/restau rant-manager-doubts-family-actually-upper-class-finds-cleaned-plates-17404 … by @Hello_Dasu #Re,,,Yes,
"As per research, if bunch of people honk together continuously, red traffic signal turns green http://www. fakingnews.firstpost.com/india/per-rese arch-bunch-people-honk-together-continuously-red-traffic-signal-turns-green-17401 … by @Hello_Dasu #Re",,,Yes,
"After Railways, now Sulabh Shauchalay introduces surge pricing, will charge more for emergency http://www. fakingnews.firstpost.com/india/railways -now-sulabh-shauchalay-introduces-surge-pricing-will-charge-emergency-17398 … #re",,,No,
"दस हज़ार रु. से कम रिश्वत लेते पकड़ा गया दरोगा, डीजीपी ने जारी किया कारण बताओ नोटिस http:// hindi.fakingnews.firstpost.com/society/less-b ribe-dgp-sp-inspector-1924 … from @hindifakingnews",,,,
Restaurant manager doubts if the family is upper class after they clean up their plates http://www. fakingnews.firstpost.com/society/restau rant-manager-doubts-family-actually-upper-class-finds-cleaned-plates-17404 … by @Hello_Dasu,,,,
"फेसबुक पे क्यूट बेबी पिक्स देखकर युवती ने ज़ोर से किया Awww, जबड़े में आयी गंभीर चोट http:// hindi.fakingnews.firstpost.com/social-media/f acebook-cute-baby-pics-awww-1941 … from @hindifakingnews",,,,
"As per research, if bunch of people honk together continuously, red traffic signal turns green http://www. fakingnews.firstpost.com/india/per-rese arch-bunch-people-honk-together-continuously-red-traffic-signal-turns-green-17401 … by @Hello_Dasu",,,,
"अयोध्या के पुजारी ने राहुल को दिया पी.एम. बनने का आशीर्वाद, ज़ोर से हँस पड़ी भगवान की मूर्ति http:// hindi.fakingnews.firstpost.com/politics/ayodh ya-rahul-prime-minister-miracle-1936 … from @hindifakingnews",,,,
"After Railways, now Sulabh Shauchalay introduces surge pricing, will charge more for emergency http://www. fakingnews.firstpost.com/india/railways -now-sulabh-shauchalay-introduces-surge-pricing-will-charge-emergency-17398 …",,,,
"Techie found not working while riding bike to office, asked to use that time to increase productivity http://www. fakingnews.firstpost.com/india/techie-f ound-not-working-riding-bike-office-asked-use-time-increase-productivity-17376 … #re",,,Yes,
Man queuing outside Ganesh Mandap hopes to get Darshan by next Ganesh Chaturthi http://www. fakingnews.firstpost.com/india/man-queu ing-outside-ganesh-mandap-hopes-get-darshan-next-ganesh-chaturthi-17380 … #re,,,No,
"Navjot Sidhu’s Awaaz-e-Punjab to hold unique rallies, audience will give speeches, Sidhu will sit and laugh http://www. fakingnews.firstpost.com/politics/navjo t-sidhus-awaaz-e-punjab-hold-unique-rallies-audience-will-give-speeches-sidhu-will-sit-laugh-17373 …",,,No,
Airtel's 4G girl found queuing outside stores to get Reliance Jio sim http:// my.fakingnews.firstpost.com/technology/air tels-4g-girl-found-queuing-outside-stores-get-reliance-jio-sim-27389 … (from @MyFakingNews ),,,No,
"जो लोग खाट लेकर गये हैं, उन्हें कांग्रेस को ही वोट देना पड़ेगा', यह सुनते ही खाट लौटाने निकले लोग http:// hindi.fakingnews.firstpost.com/politics/whoev er-looted-our-cots-must-give-vote-for-congress-1867 …",,,,
गुमशुदा की तलाश' में अपनी खराब फोटो छपने पर युवक अपनी अच्छी फोटो लौटाने वापस पहुँचा http:// hindi.fakingnews.firstpost.com/snippets/boy-s elfie-missing-returns-home-1779 … (via @hindifakingnews ),,,,
"जियो' सिम न मिलने से ख़फ़ा थे हुर्रियत नेता, इसलिये नहीं की प्रतिनिधि मंडल से मुलाकातः सूत्र http:// hindi.fakingnews.firstpost.com/india/hurriyat -boycotted-meeting-for-free-jio-sim-1897 … via @hindifakingnews",,,,
"Techie found not working while riding bike to office, asked to use that time to increase productivity http://www. fakingnews.firstpost.com/india/techie-f ound-not-working-riding-bike-office-asked-use-time-increase-productivity-17376 …",,,,
Man queuing outside Ganesh Mandap hopes to get Darshan by next Ganesh Chaturthi http://www. fakingnews.firstpost.com/india/man-queu ing-outside-ganesh-mandap-hopes-get-darshan-next-ganesh-chaturthi-17380 … (by @bija_hem ),,,,
"Bangalore Radio jockey in a soup, does not know what to say on air as no one calls her to talk about traffic woes http://www. fakingnews.firstpost.com/india/bangalor e-radio-jockey-soup-not-know-say-air-no-one-calls-talk-traffic-woes-17387 …",,,Yes,
Friday Faking Release: Chaalbaaz (*ing Navjot Singh Sidhu) http://www. fakingnews.firstpost.com/pics/friday-fa king-release-chaalbaaz-ing-navjot-singh-sidhu-17394 … #Re,,,No,
Man spending Friday afternoon in office by just staring at the clock on his computer http://www. fakingnews.firstpost.com/india/man-spen ding-friday-afternoon-office-just-staring-clock-computer-17385 … #Re,,,Yes,
"Navjot Sidhu’s Awaaz-e-Punjab to hold unique rallies, audience will give speeches, Sidhu will sit and laugh http://www. fakingnews.firstpost.com/politics/navjo t-sidhus-awaaz-e-punjab-hold-unique-rallies-audience-will-give-speeches-sidhu-will-sit-laugh-17373 … #Re",,,No,
BMC suspends officials for asking only 5 Lakhs as bribe from a guy paying 15 Crores as Income Tax http://www. fakingnews.firstpost.com/india/bmc-kapi l-sharma-narendra-modi-twitter-17369 … #Re,,,Yes,
"नाट्य रूपांतरण' नहीं जानता था जर्नलिस्ट, न्यूज़ चैनल ने नौकरी से निकाला http:// hindi.fakingnews.firstpost.com/media/journali st-lose-job-for-not-knowing-natya-roopantaran-1923 … from @hindifakingnews",,,,
Friday Faking Release: Chaalbaaz (*ing Navjot Singh Sidhu) http://www. fakingnews.firstpost.com/pics/friday-fa king-release-chaalbaaz-ing-navjot-singh-sidhu-17394 …,,,,
Man spending Friday afternoon in office by just staring at the clock on his computer http://www. fakingnews.firstpost.com/india/man-spen ding-friday-afternoon-office-just-staring-clock-computer-17385 …,,,,
कपिल से 5 लाख मांगने वाले BMC अफ़सर से अपना हिस्सा मांगने पहुंचे साथी अधिकारी http:// hindi.fakingnews.firstpost.com/india/after-ka pil-sharma-tweet-bmc-officers-asking-for-their-share-1907 … from @hindifakingnews,,,,
"Navjot Sidhu’s Awaaz-e-Punjab to hold unique rallies, audience will give speeches, Sidhu will sit and laugh http://www. fakingnews.firstpost.com/politics/navjo t-sidhus-awaaz-e-punjab-hold-unique-rallies-audience-will-give-speeches-sidhu-will-sit-laugh-17373 …",,,,
100% प्लेसमेंट का दावा करने वाले कॉलेज ने टारगेट पूरा करने के लिये अपने ही कॉलेज में बनाया चपरासी http:// hindi.fakingnews.firstpost.com/society/100-pe rcent-placement-hires-students-as-peon-1908 … - @hindifakingnews,,,,
EXCLUSIVE: BMC suspends officials for asking only 5 Lakhs as bribe from a guy paying 15 Crores as Income Tax http://www. fakingnews.firstpost.com/india/bmc-kapi l-sharma-narendra-modi-twitter-17369 …,,,,
"US settled NRI coming to India next week, suddenly discovers she has 25 nephews and nieces http://www. fakingnews.firstpost.com/india/us-settl ed-nri-coming-india-next-week-suddenly-discovers-25-nephews-nieces-17366 … #Re",,,Yes,
iPhone 8 will have Siri physically coming out of the phone and doing all the household chores: Tim Cook http://www. fakingnews.firstpost.com/technology/iph one-8-will-siri-physically-coming-phone-household-chores-tim-cook-17353 … #re,,,Yes,
"Haryana Police Inspector eats neighbor’s Mutton Biryani every time, says he is checking for Beef http://www. fakingnews.firstpost.com/society/haryan a-police-inspector-eats-neighbors-mutton-biryani-every-time-says-checking-beef-17350 … #Re",,,Yes,
"घर बैठी महिलाओं के लिये खास स्टार्ट अप, 'Gupshup.in' घर भेजेगी गॉसिप करने के लिये लोग http:// hindi.fakingnews.firstpost.com/society/gupshu p-startup-for-women-gossip-1884 … from @hindifakingnews",,,,
"US settled NRI coming to India next week, suddenly discovers she has 25 nephews and nieces http://www. fakingnews.firstpost.com/india/us-settl ed-nri-coming-india-next-week-suddenly-discovers-25-nephews-nieces-17366 …",,,,
Thumbs Up to Ola for taking it sportingly http://www. fakingnews.firstpost.com/india/no-dont- sell-kidney-pay-ola-outstation-bill-17343 … @Olacabs,,,No,
मंदिरों में अंडों की जगह egg-less केक रखने पर राज़ी हुई 'पोकेमोन गो' गेम की कंपनी http:// hindi.fakingnews.firstpost.com/technology/nia ntic-puts-egg-less-cake-in-temples-for-pokemon-go-1880 … from @hindifakingnews,,,,
BREAKING: iPhone 8 will have Siri physically coming out of the phone and doing all the household chores: Tim Cook http://www. fakingnews.firstpost.com/technology/iph one-8-will-siri-physically-coming-phone-household-chores-tim-cook-17353 …,,,,
Disgruntled MNS worker who was invited by North Indian hawker for 'Apple' launch event https:// twitter.com/abpnewstv/stat us/773777477894217729 …,,,No,
That's one 'fixing' Ola customers will appreciate https:// twitter.com/Olacabs/status /773755842260676608 …,,,No,
"Haryana Police Inspector eats neighbor’s Mutton Biryani every time, says he is checking for Beef http://www. fakingnews.firstpost.com/society/haryan a-police-inspector-eats-neighbors-mutton-biryani-every-time-says-checking-beef-17350 …",,,,
"No, you don’t have to sell your Kidney to pay your Ola Outstation bill! http://www. fakingnews.firstpost.com/india/no-dont- sell-kidney-pay-ola-outstation-bill-17343 … @Olacabs",,,Yes,
Railways starts “Bewda Express” to help alcoholics; will leave Patna on Friday and return Monday morning http://www. fakingnews.firstpost.com/politics/railw ays-starts-bewda-express-help-alcoholics-will-leave-patna-friday-return-monday-morning-17339 … #Re,,,No,
Domestic help who secretly whisked away groceries from employer’s house starts her own online grocery store http://www. fakingnews.firstpost.com/india/domestic -help-secretly-whisked-away-groceries-employers-house-starts-online-grocery-store-17331 … #re,,,Yes,
"ICC to introduce ""One tip, one hand catch"" rule to try and bring balance between batsmen and bowlers http://www. fakingnews.firstpost.com/sports/icc-int roduce-one-tip-one-hand-catch-rule-try-bring-balance-batsmen-bowlers-17315 … #Re",,,Yes,
"होटल छोड़ते समय शैम्पू साबुन साथ ले जाना भूला, वापस रूम बुक कर सारे कमरों से साबुन शैम्पू इकट्ठा किया http:// hindi.fakingnews.firstpost.com/society/free-s hampoo-sachets-hotel-take-away-pachmadhi-1852 …",,,,
Railways starts “Bewda Express” to help alcoholics; will leave Patna on Friday and return Monday morning http://www. fakingnews.firstpost.com/politics/railw ays-starts-bewda-express-help-alcoholics-will-leave-patna-friday-return-monday-morning-17339 …,,,,
"बैंड मास्टर बाबू का बाबा राम रहीम पर कपड़े चुराने का आरोप, कहा- फिलिम में मेरे ही कपड़े पहने हैं http:// hindi.fakingnews.firstpost.com/entertainment/ band-master-alleged-baba-gurmeet-ram-rahim-stole-his-clothes-1850 … - @hindifakingnews",,,,
"दूसरों का भविष्य बताने वाले बाबा खुद अपना भविष्य भूले, अब रोज़ पढ़ रहे हैं राशिफल http:// hindi.fakingnews.firstpost.com/snippets/clair voyant-unable-to-predict-horoscope-reading-newspaper-1861 … from @hindifakingnews",,,,
Domestic help who secretly whisked away groceries from employer’s house starts her own online grocery store http://www. fakingnews.firstpost.com/india/domestic -help-secretly-whisked-away-groceries-employers-house-starts-online-grocery-store-17331 …,,,,
"पाक ने तारा सिंह द्वारा उखाड़े गए हैंडपंप का मामला फिर यूएन में उठाया, भारत ने जताया कड़ा विरोध http:// hindi.fakingnews.firstpost.com/world/pak-rais e-tara-singh-hand-pump-issue-again-in-un-1844 … - @hindifakingnews",,,,
"ICC to introduce ""One tip, one hand catch"" rule to try and bring balance between batsmen and bowlers http://www. fakingnews.firstpost.com/sports/icc-int roduce-one-tip-one-hand-catch-rule-try-bring-balance-batsmen-bowlers-17315 …",,,,
"Busy dancing to Bollywood numbers, devotees forget to take Ganpati idol from sculptor, return empty handed http://www. fakingnews.firstpost.com/india/busy-dan cing-bollywood-numbers-devotees-forget-take-ganpati-idol-sculptor-return-empty-handed-17312 …",,,No,
"After getting free Khats, UP residents request Rahul Gandhi to organize a Blanket Panchayat next http://www. fakingnews.firstpost.com/politics/rahul -gandhi-khat-deoria-panchayat-congress-uttar-pradesh-17309 … #Re",,,No,
Man staring at phone to avoid being called for a dance at a family function http://www. fakingnews.firstpost.com/society/man-st aring-phone-avoid-called-dance-family-function-17306 … #Re,,,Yes,
"खाट पे चर्चा' के दौरान टूटी रामधन पांडे की खटिया, बदले में रामधन ने राहुल गाँधी से माँगा डबल बेड http:// hindi.fakingnews.firstpost.com/politics/man-d emands-bed-in-compensation-from-rahul-for-his-cot-1841 … - @HindiFakingNews",,,,
"Busy dancing to Bollywood numbers, devotees forget to take Ganpati idol from sculptor, return empty handed http://www. fakingnews.firstpost.com/india/busy-dan cing-bollywood-numbers-devotees-forget-take-ganpati-idol-sculptor-return-empty-handed-17312 …",,,,
"After getting free Khats, UP residents request Rahul Gandhi to organize a Blanket Panchayat next http://www. fakingnews.firstpost.com/politics/rahul -gandhi-khat-deoria-panchayat-congress-uttar-pradesh-17309 …",,,,
"WiFi पासवर्ड के लिये पड़ोसी की बेटी से चलाया चक्कर, ब्रेकअप होने पर लड़की ने थमाया 3 साल का इंटरनेट बिल http:// hindi.fakingnews.firstpost.com/society/free-w ifi-password-neighbor-daughter-affair-1828 …",,,,
Man staring at phone to avoid being called for a dance at a family function http://www. fakingnews.firstpost.com/society/man-st aring-phone-avoid-called-dance-family-function-17306 …,,,,
Sidhu promises to ban his own commentary in IPL if voted to power in Punjab http://www. fakingnews.firstpost.com/politics/sidhu -promises-ban-commentary-ipl-voted-power-punjab-17301 … by @bija_hem #Re,,,Yes,
Man set out to find the author of a forwarded message from two years ago finally found her to be his wife http://www. fakingnews.firstpost.com/social-media/m an-set-find-author-forwarded-message-two-years-ago-finally-found-wife-17296 … #re,,,Yes,
HR rejects a person’s application for sales manager after finding out that there are no lies in his CV http://www. fakingnews.firstpost.com/business/hr-re jects-persons-application-sales-manager-finding-no-lies-cv-17297 … #Re,,,Yes,
"अपने दामाद को बिल्डर ने गिफ्ट की सिर्फ एक ऑडी, साथी बिल्डरों ने जमकर कोसा http:// hindi.fakingnews.firstpost.com/society/builde r-audi-marriage-angry-1818 … from @hindifakingnews",,,,
"आशुतोष ने किया खुलासा, वीडियो में दुष्कर्म करने वाला संदीप नहीं, उसका जुड़वाँ भाई मंदीप कुमार है http:// hindi.fakingnews.firstpost.com/india/ashutosh -revealed-about-sandeep-twin-brother-mandeep-1806 … - @hindifakingnews",,,,
Sidhu promises to ban his own commentary in IPL if voted to power in Punjab http://www. fakingnews.firstpost.com/politics/sidhu -promises-ban-commentary-ipl-voted-power-punjab-17301 … by @bija_hem,,,,
मदर टेरेसा के संत बनते ही 'रामरती देवी पब्लिक स्कूल' का नाम 'सेंट टेरेसा ग्लोबल स्कूल' हुआ http:// hindi.fakingnews.firstpost.com/society/ramrat i-devi-public-school-becomes-mother-teresa-school-1796 … from @hindifakingnews,,,,
Man set out to find the author of a forwarded message from two years ago finally found her to be his wife http://www. fakingnews.firstpost.com/social-media/m an-set-find-author-forwarded-message-two-years-ago-finally-found-wife-17296 …,,,,
HR rejects a person’s application for sales manager after finding out that there are no lies in his CV http://www. fakingnews.firstpost.com/business/hr-re jects-persons-application-sales-manager-finding-no-lies-cv-17297 …,,,,
"Inspired by Indians using Italian names, Italian builder names residential complex sundar ghar http://www. fakingnews.firstpost.com/world/inspired -indians-using-italian-names-italian-builder-names-residential-complex-sundar-ghar-suffers-huge-loss-17293 … #Re",,,No,
Man spending long weekend complaining about returning to office on Tuesday http://www. fakingnews.firstpost.com/india/man-spen ding-long-weekend-complaining-returning-office-tuesday-17290 … #Re,,,Yes,
"Man gets Electricity bill of Rs.34,000 for his new 2 BHK home, the builder says the bill is based on square feet http://www. fakingnews.firstpost.com/india/man-gets -electricity-bill-rs-34000-new-two-bedroom-home-builder-says-bill-based-square-feet-17287 … #Re",,,Yes,
जानिये कौन-कौन शामिल हो सकते हैं नवजोत सिंह सिद्धू की पार्टी में http:// hindi.fakingnews.firstpost.com/politics/look- at-the-names-those-can-join-siddhu-party-1789 … from @hindifakingnews,,,,
"Inspired by Indians using Italian names, Italian builder names residential complex sundar ghar, suffers a huge loss http://www. fakingnews.firstpost.com/world/inspired -indians-using-italian-names-italian-builder-names-residential-complex-sundar-ghar-suffers-huge-loss-17293 …",,,,
"फॉरेन रिटर्न लड़के ने चाय वाले भैया से मांगी 'चोको-नट लाटे', खायीं चप्पल और लातें http:// hindi.fakingnews.firstpost.com/society/foreig n-returned-guy-beaten-asking-for-choco-nut-latte-1782 … from @hindifakingnews",,,,
Man spending long weekend complaining about returning to office on Tuesday http://www. fakingnews.firstpost.com/india/man-spen ding-long-weekend-complaining-returning-office-tuesday-17290 …,,,,
"Man gets Electricity bill of Rs.34,000 for his new 2 bedroom home, the builder says the bill is based on square feet http://www. fakingnews.firstpost.com/india/man-gets -electricity-bill-rs-34000-new-two-bedroom-home-builder-says-bill-based-square-feet-17287 …",,,,
गुमशुदा की तलाश' में अपनी खराब फोटो छपने पर युवक अपनी अच्छी फोटो लौटाने वापस पहुँचा http:// hindi.fakingnews.firstpost.com/snippets/boy-s elfie-missing-returns-home-1779 … from @hindifakingnews,,,,
Apple to launch smart engagement ring in September http://www. fakingnews.firstpost.com/technology/app le-launch-smart-engagement-ring-september-17274 … #re,,,Yes,
"After Balochi language, AIR to have people swear continuously for a show in Delhi language http://www. fakingnews.firstpost.com/india/balochi- language-air-people-swear-continuously-show-delhi-language-17280 … #re",,,,
"Bengaluru Techie starts from home at the same time as his client from Hong Kong, both reach airport at same time http://www. fakingnews.firstpost.com/india/bengalur u-techie-traffic-airport-17236 …",,,Yes,
"रेल मंत्रालय ने रखा ट्रेन में शादी कराने का प्रस्ताव, भाग कर शादी करने वाले जोड़े दुविधा में http:// hindi.fakingnews.firstpost.com/snippets/railw ay-ministry-suresh-prabhu-sushma-swaraj-wedding-luxury-train-1752 … (via @hindifakingnews )",,,,
Vodafone ZooZoo caught enquiring for a Reliance Jio connection http://www. fakingnews.firstpost.com/business/vodaf one-zoozoo-caught-enquiring-reliance-jio-connection-17250 …,,,Yes,
"पाकिस्तानी क्रिकेटर भी अमेरिका में खेलने पर अड़े, कहा- ""अबुधाबी में अब और नहीं खेलेंगे"" http:// hindi.fakingnews.firstpost.com/sports/like-te am-india-pak-cricketers-wants-to-play-in-america-1762 … (via @hindifakingnews )",,,,
"Hostel warden writes to Vatican asking for Saint status, claims miracle for making 2 engineering students take bath http://www. fakingnews.firstpost.com/india/hostel-w arden-writes-vatican-asking-saint-status-claims-miracle-making-two-engineering-students-take-bath-17270 …",,,Yes,
Apple to launch smart engagement ring in September http://www. fakingnews.firstpost.com/technology/app le-launch-smart-engagement-ring-september-17274 …,,,,
"After Balochi language, AIR to have people swear continuously for a show in Delhi language http://www. fakingnews.firstpost.com/india/balochi- language-air-people-swear-continuously-show-delhi-language-17280 … (by @bija_hem )",,,,
Friday Faking Release: Rangeela (*ing Sandeep Kumar) http://www. fakingnews.firstpost.com/pics/friday-fa king-release-rangeela-ing-sandeep-kumar-17267 … #Re,,,,
Pakistan to provide post-retirement jobs to Army veterans to stop them from doing Arnab’s show for money http://www. fakingnews.firstpost.com/media/pakistan -provide-post-retirement-jobs-army-veterans-stop-arnabs-show-money-17263 … #Re,,,No,
Sources allege that KRK took payment of 25 Lakhs from Karan Johar in 12.5 Lakh 2 Rs coins http://www. fakingnews.firstpost.com/entertainment/ krk-karan-johar-ajay-devgn-shivaay-ae-dil-hai-mushkil-17259 … #Re,,,No,
"बाढ़ में डूबी दिल्ली की फ़ोटो प्रदर्शनी लगायेगी बीजेपी, केजरीवाल लगायेंगे बनारस-एमपी वाली http:// hindi.fakingnews.firstpost.com/india/aap-and- bjp-will-organize-photo-exibition-of-flood-1710 … from @hindifakingnews",,,,
Friday Faking Release: Rangeela (*ing Sandeep Kumar) http://www. fakingnews.firstpost.com/pics/friday-fa king-release-rangeela-ing-sandeep-kumar-17267 …,,,,
"पाकिस्तानी क्रिकेटर भी अमेरिका में खेलने पर अड़े, कहा- ""अबुधाबी में अब और नहीं खेलेंगे"" http:// hindi.fakingnews.firstpost.com/sports/like-te am-india-pak-cricketers-wants-to-play-in-america-1762 … from @hindifakingnews",,,,
Election symbol of new party launched by Navjot Singh Sidhu pic.twitter.com/npsT8z1MeR,,,,
Pakistan to provide post-retirement jobs to Army veterans to stop them from doing Arnab’s show for money http://www. fakingnews.firstpost.com/media/pakistan -provide-post-retirement-jobs-army-veterans-stop-arnabs-show-money-17263 …,,,,
Reliance Jio के आने से मिस्ड कॉल मारने वालों में खुशी की लहर http:// hindi.fakingnews.firstpost.com/society/relian ce-jio-missed-calls-cheap-tariffs-mukesh-ambani-1738 … from @hindifakingnews,,,,
"यूपी चुनाव में पोलिंग-बूथों पर मिलेंगे रिलायंस जियो के सिम, 110% मतदान होने की सम्भावना http:// hindi.fakingnews.firstpost.com/india/reliance -jio-sim-will-be-distributed-at-polling-booths-in-up-1742 … from @hindifakingnews",,,,
Sources allege that KRK took payment of 25 Lakhs from Karan Johar in 12.5 Lakh 2 Rs coins http://www. fakingnews.firstpost.com/entertainment/ krk-karan-johar-ajay-devgn-shivaay-ae-dil-hai-mushkil-17259 …,,,,
Extortionist hires PreSchool admission officer to head business http://www. fakingnews.firstpost.com/india/extortio nist-hires-pre-school-admission-officer-head-business-17256 … #re,,,No,
"Video of AAP worker checking Reliance Jio features goes viral, faces axe from party http://www. fakingnews.firstpost.com/politics/video -of-aap-worker-checking-reliance-jio-features-goes-viral-faces-axe-from-party-17253 … by @shaitaankhopdi #Re",,,No,
Vodafone ZooZoo caught enquiring for a Reliance Jio connection http://www. fakingnews.firstpost.com/business/vodaf one-zoozoo-caught-enquiring-reliance-jio-connection-17250 …,,,Yes,
Teen started doing all the domestic chores as he prepares to ask parents for iPhone 7 http://www. fakingnews.firstpost.com/technology/tee n-started-domestic-chores-prepares-ask-parents-iphone-7-17247 … #Re,,,Yes,
"नासा का खुलासाः 'अमेरिका के बजाय किसी और देश में उतर सकते हैं एलियन', पूरा अमेरिका सदमे में http:// hindi.fakingnews.firstpost.com/world/aliens-m ay-land-in-other-than-us-obama-worried-1727 … from @hindifakingnews",,,,
Extortionist hires PreSchool admission officer to head business http://www. fakingnews.firstpost.com/india/extortio nist-hires-pre-school-admission-officer-head-business-17256 …,,,,
"Video of AAP worker checking Reliance Jio features goes viral, faces axe from party http://www. fakingnews.firstpost.com/politics/video -of-aap-worker-checking-reliance-jio-features-goes-viral-faces-axe-from-party-17253 … by @shaitaankhopdi",,,,
Uber के ख़िलाफ़ टैक्सी वालों की हड़ताल से प्रभावित हो अब डाकिये करेंगे E-Mail के ख़िलाफ़ हड़ताल http:// hindi.fakingnews.firstpost.com/society/uber-o la-taxi-kaali-peeli-postman-1728 … - @hindifakingnews,,,,
BREAKING: Vodafone ZooZoo caught enquiring for a Reliance Jio connection http://www. fakingnews.firstpost.com/business/vodaf one-zoozoo-caught-enquiring-reliance-jio-connection-17250 …,,,,
"हमारे अकाउंट में पैसे नहीं हैं, इसलिये संदीप को कैमरा भी ख़ुद ही हैंडल करना पड़ाः केजरीवाल http:// hindi.fakingnews.firstpost.com/politics/sande ep-handled-camera-himself-due-to-lack-of-funds-1723 … from @hindifakingnews",,,,
Teen started doing all the domestic chores as he prepares to ask parents for iPhone 7 http://www. fakingnews.firstpost.com/technology/tee n-started-domestic-chores-prepares-ask-parents-iphone-7-17247 …,,,,
Man put on hold for past 30 minutes by customer care still confident that his problem will be solved http://www. fakingnews.firstpost.com/india/man-put- hold-past-30-minutes-customer-care-still-confident-problem-will-solved-17244 … #Re,,,Yes,
Sports Authority of India to use flooded Delhi NCR roads to train swimmers http://www. fakingnews.firstpost.com/india/sports-a uthority-india-use-flooded-delhi-ncr-roads-train-swimmers-17239 … #Re,,,Yes,
"Bengaluru Techie starts from home at same time as client from Hong Kong, both reach airport together http://www. fakingnews.firstpost.com/india/bengalur u-techie-traffic-airport-17236 … #Re",,,Yes,
"#MyFN - After Yogi Dutt's medal upgrade,boys hopeful of being upgraded from friendzone to boyfriend zone http:// my.fakingnews.firstpost.com/india/yogeshwa r-dutts-medal-upgrade-boys-hopeful-upgraded-friendzone-boyfriend-zone-review-27288 … by @bija_hem",,,Yes,
Man put on hold for past 30 minutes by customer care still confident that his problem will be solved http://www. fakingnews.firstpost.com/india/man-put- hold-past-30-minutes-customer-care-still-confident-problem-will-solved-17244 …,,,,
"बेरोज़गार युवक के पास नहीं था पासपोर्ट साइज़ फ़ोटो, दोस्तों ने जमकर दौड़ाया http:// hindi.fakingnews.firstpost.com/society/unempl oyed-youth-ridiculed-for-not-having-passport-size-photo-1697 … from @hindifakingnews",,,,
Sports Authority of India to use flooded Delhi NCR roads to train swimmers http://www. fakingnews.firstpost.com/india/sports-a uthority-india-use-flooded-delhi-ncr-roads-train-swimmers-17239 …,,,,
"Bengaluru Techie starts from home at same time as client from Hong Kong, both reach airport together http://www. fakingnews.firstpost.com/india/bengalur u-techie-traffic-airport-17236 … by @Hello_Dasu",,,,
"टोकियो ओलंपिक में भारत के 10 गोल्ड पक्के; फ़ुटबॉल, टेनिस सहित कई खेलों में भाग लेंगे बाबा राम रहीम http:// hindi.fakingnews.firstpost.com/sports/baba-ra m-rahim-will-compete-in-tokyo-olympics-10-gold-medals-assured-1689 … - @hindifakingnews",,,,
"Delhi Govt and MCD swing into action, start blaming each other after flooding of roads http://www. fakingnews.firstpost.com/politics/delhi -govt-and-mcd-swing-into-action-by-blaming-each-other-after-flooding-of-roads-10277 …",,,No,
"Bengaluru to reclaim title of ‘Lake City’, many lake sized potholes behind this honour http://www. fakingnews.firstpost.com/india/bengalur u-reclaim-title-lake-city-many-lake-sized-potholes-behind-honour-17233 … by @Hello_Dasu #Re",,,Yes,
"NASA to end the long running internet rumor, will actually click India from space this Diwali http://www. fakingnews.firstpost.com/india/nasa-end -long-running-internet-rumor-will-actually-click-india-space-diwali-17227 … #Re",,,Yes,
"After Yogi Dutt’s medal upgrade, Bangladesh hopeful that “The No Ball” will be cancelled during 2019 World Cup http://www. fakingnews.firstpost.com/sports/yogeshw ar-dutts-medal-upgrade-4-yrs-bangladesh-hopeful-no-ball-will-cancelled-2019-world-cup-17230 … #Re",,,No,
अगर दुनिया में तीसरा विश्व-युद्ध हुआ तो ट्विटर वालों की वजह से ही होगाः रिसर्च http:// hindi.fakingnews.firstpost.com/social-media/f acebook-users-are-more-peaceloving-than-twitterati-1667 … from @HindiFakingNews,,,,
"Bengaluru to reclaim title of ‘Lake City’, many lake sized potholes behind this honour http://www. fakingnews.firstpost.com/india/bengalur u-reclaim-title-lake-city-many-lake-sized-potholes-behind-honour-17233 … by @Hello_Dasu",,,,
पिंटेक्स के फोन पर iPhone 6 का कवर लगाकर घूम रहा युवक iPhone 7 की खूबियाँ बताता धरा गया http:// hindi.fakingnews.firstpost.com/technology/iph one7-boy-pintex-iphone6-covers-1682 … from @hindifakingnews,,,,
"टीचर्स ने नवाज़ से माँगा देश का असली नक्शा, पूछा- पाकिस्तान का कितना हिस्सा वास्तव में हमारा है? http:// hindi.fakingnews.firstpost.com/world/pakistan i-teachers-asks-for-authentic-map-of-pak-1674 … - @hindifakingnews",,,,
दिनभर लड़कियों के मेक अप की बुराई करने वाला युवक ख़ुद फैसपैक लगाए पकड़ा गया http:// hindi.fakingnews.firstpost.com/society/youth- envy-of-girls-makeup-caught-with-facepack-1664 … from @HindiFakingNews,,,,
