Tweets,,Niranjana,
"""Sharing a dessert,"" or as I like to call it, a race to eat more than the other person.",,,
"Fancy a cold one? No thanks, already married.",,,
Being a husband is like being a weatherman. You can be wrong 80% of the time and still hold onto your job.,,,
"I know I said you were dead to me, but that was before I needed a ride to the airport.",,,
If you need me I'll be at Home Depot telling all the men what they're doing wrong,,,
Don't underestimate my overreaction.,,,
"My first workout back at the gym was great... I did 15 mins of cardio, 10 mins on the defibrillator, and then 3 days in the hospital.",,,
"Call me old fashioned, but I think leaving a 6 minute drunk voice mail at 3am is romantic",,,
Doing the same thing over and over again expecting different results isn't the definition of insanity it's the definition of parenting,,,
WHO PUT THIS GREEN LEAFY CRAP IN MY SALAD DRESSING?!?,,,
A balloon gives my kids a solid hour of entertainment: 3 minutes of fighting over who gets the balloon 57 minutes of crying after it pops,,,
Choose a job you love and you will never work a day in your life because that field isn't hiring.,,,
I'll probably never get over what's-her-name.,,,
Red Bull and vodka. Because you want to be wide awake for this mistake.,,,
Getting older is pretty much just paying bills and finally understanding why killers in horror flicks target teenagers.,,,
I finally arrived at that age where people tell me I look great...for my age.,,,
"""I want you to notice me. Whoa! Not that much! Now, respond to my texts. Not that fast! Appear busier. Act indifferent. Love me!"" -Dating",,,
Of course brides are happy on their wedding day. It's the only time in our life we get a cake so big that we don't mind sharing.,,,
"[trying to impress fiancée's entire family] Waiter: Your bill for- Oh I got it! [looks at bill & spits wine] WHO ORDERED THE ""SUBTOTAL""?!?",,,
Now is the time when we need the calm & reassuring wisdom of people who studied abroad in the UK for a semester,,,
I'm looking at the serving size of Laughing Cow cheese and I see why the cow is laughing.,,,
How may I misdirect you?,,,
[first date] HER: What do you do? ME: I'm an artist HER: Where can I see your work? ME: *pulls out adult coloring book* Be careful with it,,,
They call cat people crazy but we're not the ones outside at 5AM every morning putting fresh dog poop into tiny baggies.,,,
Me: What’s a horse say? 2: Neigh! Me: What’s a sheep say? 2: Baaa! Me: What’s a mommy say? 2: NO NO NO! Nailed it.,,,
"Go on a romantic walk with her. Run your hands through her hair. Take her out to a nice meal. So what if she's a police horse, who cares",,,
I put the deter in determination.,,,
On average people watch 8 Spider-Man movies a year in their sleep,,,
"[Physics Prof to a class of millennials] ""No Tami, the photoelectric effect is not when you take a really good selfie."";;;;""746326351649587201",,,
“Never skydiving” is at the absolute top of my bucket list.,,,
In the end all we are looking for is someone who knows we don't want to share our nachos,,,
My aunt's ex-boyfriend's mailman's brother said it on Facebook so I don't think any further research is necessary.,,,
"If you're giving me directions and you say, ""Head north,"" I'm going to think you mean toward the sky.",,,
I almost just choked on a kale chip and all I could think was that this never happens with Cinnabons.,,,
If life were a romantic comedy I would be the guy on a date with the girl when the male lead makes his grand gesture that wins her back.,,,
I'm about two or three hot flashes away from being a cause of global warming.,,,
My cat would like you to know that no dragon has ever attacked me whilst sitting on the toilet. And she plans on keeping it that way.,,,
FARMER: Is my pig going to be ok? VET: Of course. Just apply the oinkment. I ham so sorry. I don't know what's bacon me say these things,,,
I want an app to mute nearby people,,,
"All my 5yo does is pretend to be a horse galloping around and insists I pretend she's a horse. Well, today she broke her leg.",,,
DOG 911: what's the emergency? DOG: a boy threw a ball but I can’t find it DOG 911: did u check his hand? DOG: of course I checked hi—DAMMIT,,,
Finally told my parents they’re gay.,,,
I hope I get a chore list cleverly disguised as a Home Depot gift card again this Father's Day.,,,
The only time I've ever on time to anything is when I'm dropping my kids off to be watched by somebody else.,,,
[court] LAWYER: Did u kill him? ME: No L: You know what the punishment is for committing perjury? ME [lips on the mic] Much less than murder,,,
"But, you can't make him unhappy like I can.",,,
pic.twitter.com/hv6Kp1sdxf,,,
"When I want the entire beach to myself, I wear a Speedo.",,,
"I'm judge, jury, executioner, bailiff, public defender, prosecutor, and court stenographer. These budget cutbacks are brutal.",,,
Trust me. I am a stranger on the internet.,,,
"""OK. I'll give you my phone number but don't ever call me."";;;;""742550438101192704",,,
You know what this clogged toilet needs? More toilet paper! Kid logic.,,,
"If a girl DMs you on twitter, avoid him.",,,
How men return shopping carts *run fast while pushing cart* *let go 7 feet from return area* *cheer crash & perfect fit into other carts*,,,
"Found out today you cannot join a gym ""just to watch"".",,,
Set the tone for the day by getting out of bed and stumbling directly into a wall.,,,
I wear sunglasses at the poker table so people can't see me crying.,,,
"I don’t wish there were more hours in the day, but I could use a few more at night.",,,
[Saturday 6:13 am] Daddy I know you wanted to sleep in but the TV won't work & I can't open the milk & the dog puked & I think I'm bleeding,,,
I don't know if dogs get how cool they look in sunglasses.,,,
"I often think if I'd taken a different path in life, I could be lying on a slightly more comfortable sofa right now.",,,
My girlfriend said she wants a fairy-tale life. So I've trapped her in her gran's bedroom with a wolf.,,,
"Wears an ""I'm with stupid"" shirt to marriage counseling.",,,
"Me: I think the battery is dead or it needs a new starter motor Mechanic: yeah, canoes generally don't have either of those things",,,
Any relationship can be a long distance relationship if you run away.,,,
Just found out AT&T stands for Atlantic Telephone and Telegraph. I think my internet is connected to the telegraph side.,,,
"""You're in early"" - my boss when I show up to work on time",,,
My wife is so sweet. Every time she goes to the bar alone she gives me her wedding ring so I will think about her all night. ♡,,,
I have no idea how the cavemen could afford to eat paleo.,,,
"This woman's ""I'm deleting my Facebook"" post has 52 comments and she's replied to all of them. Not a strong start.",,,
"Interviewer: If we hire you, where do you see yourself in five years? Me: On ""paid administrative leave"".",,,
I blocked my cat on Twitter. He knows why.,,,
"Don't you just hate it when men try to ruin a perfectly good argument by using weapons like ""facts"" and ""logic""?",,,
"Interviewer: And what would you say is your greatest strength? Me: Yes Interviewer: What? Me: Sorry, I thought you asked if I was listening",,,
Computer glitch at LAX causes passenger to catch flight quickly & unmolested,,,
I passed a heart stress test today when I noticed a spider crawling up my shoulder.,,,
You have my attention but it's already planning its escape.,,,
90% of this vacation is just me staring down seagulls over a plate of food.,,,
We have 20 people coming over to our house today. My wife made me clean all week. She's terrified someone will find out people live here.,,,
Businesses be like: buy one get one free if you pay double for the first one,,,
I just want to be rich enough that I can buy my furniture already assembled.,,,
I'm just looking forward to the day when my kids are no longer teenagers and I'm not an idiot anymore.,,,
"If I did one of those wine and paint nights the instructor would be like wow look at you, you are really good at wine.",,,
"Interviewer: ""Why do you want to be a librarian?"" Me: ""I like telling people to be quiet."";;;;""738737829161881600",,,
"Tired of rap songs starting with MC going ""uhuh uhuh...One two one two...Let's do this..."" No. You shoulda been ready when the song started.",,,
I don't need fun to have alcohol.,,,
"Hallmark has birthday cards out already, and it's not anywhere near my birthday.",,,
I can relate to Alice in Wonderland. She just keeps randomly eating and drinking with the hope that it might magically solve her problems.,,,
"[Enter Password] abc1234 [Password weak. Password accepted, but system cannot respect you.]",,,
Scientists now believe that approx 2% of Earth's water at any given time is found on Tupperware containers being removed from the dishwasher,,,
"I teach a graduate course at a local college, ""Plans and How To Get Out of Them"";;;;""737644619064877056",,,
"I'm a really good listener, as long as we're talking about me.",,,
"I cheated on my diet yesterday with a prettier, sluttier diet.",,,
Always surprised when people on Tiny House Hunters move in with their kids and there isn't a follow-up show called Tiny House Homicides.,,,
Never underestimate an underachiever. We're capable of less than you think.,,,
"If toddlers ordered drinks: *raises finger Oh, Garçon! Bring me a small box of your finest fruit-flavored punch. *sticks finger back in nose",,,
I can't be the only person who's noticed that only flat animals cross the road,,,
"[job interview] ""What's your biggest weakness?"" I make poor decisions ""Can you explain?"" Sure, but let's do some shots first",,,
"Based on how he reacts, you'd think my dog's entire family was killed by pizza delivery guys.",,,
"I don't know if an obituary can be great, but if they can be, then my kids better write me one as great as this. pic.twitter.com/T4zHqDrTAS",,,
Ｉ ＡＴＥ ＨＥＲＥ. ＤＯ ＮＯＴ ＲＥＣＯＭＭＥＮＤ. [next morning] Wife: Why'd you post that on my sister's Facebook page last night?,,,
It's never too early to get life size cardboard cuts-outs of yourself made up for this year's Christmas presents.,,,
Time to turn over a new leaf. With my luck it'll be poison ivy.,,,
"Our guide called the bear tracks I found bike tracks. Laugh it up pal, but if these bears are on bikes we're all going to die out here.",,,
my review of the sun: one star,,,
"99 decorative pillows on the bed 99 decorative pillows take 1 down put it on the ground no that's not where decorative pillows go, you idiot",,,
Just put some Rainier Cherries on lay-away at Whole Foods.,,,
My therapy group is a joke. The doctor is supposed to match you with people you have something in common with but everyone here is nuts.,,,
63% of time spent being an adult over 40 is just waiting for a pill to kick in.,,,
"I hear they're coming out with a new ""Blame me, I voted"" sticker.",,,
My diet this week consisted of 6 cheat days,,,
My life is an open book. But it's very poorly written and I die in the end.,,,
"Enjoy your money now. You can't take it with you & you SURE AS HELL CAN'T LEAVE IT TO A DAUGHTER DATING A TATTOOED BIKER NAMED SNAKE, EMMA!",,,
If you start smacking people with your wife's purse she won't ask you to hold it for her anymore,,,
When a man says 'fine' he means the battle is over. When a woman says 'fine' the war is just beginning.,,,
"My 3-year-old called her eyebrows ""eye mustaches."" I was going to correct her, but instead I upgraded my vocabulary.",,,
I'd have better luck telling the lamps to be careful around the kids.,,,
Remember back in 2015 when dad bods were hot for like a week? That was the best week of my life.,,,
No one has stolen my lunch at work since I started labeling it “Stool Sample.”,,,
Attended a surprise party at work this afternoon. Fred was really surprised he was retiring.,,,
Just added 'Wandering Around the Parking Lot Looking for My Car' as another Track Exercise on my Fitbit.,,,
"In Heaven all your lost pets are sitting around waiting to see you again. ""I wish he'd die,"" says Cupcake. They all nod.",,,
I'd love to have a deep meaningful discussion with my daughter but I'm not that good at emojis.,,,
My son asked me what it's like to be a parent so I woke him up at 3 a.m. to let him know that I couldn't sleep.,,,
"Got out of listening to the door-to-door salesman's pitch by telling him I'm the cleaning lady, which really isn't even a lie.",,,
Airline just told my GF she has too much baggage & they've only known her a couple of minutes.,,,
"I was put in charge of morale at work, so I suggested leaving me alone. I didn't know they meant *everyone's* morale.",,,
Hope my Facebook friends like my staycation photos! -Me in a chair. -Me on the couch. -Different chair. -Sitting on the bed. -Couch again.,,,
Being misunderstood is an art and apparently I should open a gallery.,,,
"*Me as a detective* Me: ""Victim is 6'1"". His body....has already turned into a ghost."" ""Sir, that's just a sheet that we covered him with."";;;;""718442772672303104",,,
Imagine coming back to life as a zombie but someone tied your shoes together before you were buried.,,,
"No matter how stupid you feel, remember, Little Red Riding Hood couldn't figure out a talking wolf in drag wasn't her grandmother",,,
"Wife is tired, so I stepped in and cooked a healthy dinner for everyone. (Pop Tarts are fortified with 8 essential vitamins and iron)",,,
Question : If we're all following eachother Who's actually leading And where is it we're going again?,,,
Dogs are probably really excited about dog sledding before they find out what it actually is.,,,
pic.twitter.com/sYjPxqPC9I,,,
I just want the self confidence of a cat.,,,
I want to push all your buttons. Starting with mute.,,,
[checking on the flowers] 3-year-old: I told all my friends at daycare we have planted pot. Me: You mean potted plants. 3: Oh God.,,,
The coolest dog ever is not allowed: pic.twitter.com/lHXk4yKLb9,,,
"Frequent outbreaks of listeria, salmonella and e.coli are why I limit my diet to chocolate, fries and red wine. It's just healthier.",,,
Welcome to kleptomaniac club. I see you already took a brochure.,,,
Guy stole my identity this week and I'm like I HAVE A FAMILY YOU HAVE TO TAKE THEM TOO,,,
"Just tell me when and where, and I'll be there 20 minutes late.",,,
"When my college daughter sees me again after two months, I worry that her pent-up eyeroll will knock a hole in the space/time continuum.",,,
"My one weakness? Probably my unshakable belief that, despite a total lack of training, I'll be able to do karate if I'm ever in a fight.",,,
Health insurance is rare in the exotic dancing industry. Most strippers have little or no coverage.,,,
"She said she hates my analogies and wishes I would communicate like a normal person, but that's like telling a samurai not to use his sword",,,
Me: Goodnight. Brain: Pssst. Me: What? Brain: What disease do you think we have?,,,
"*walks up to microphone during wedding reception* *taps on mic; everyone smiles* ""Anyone that doesn't want their cake, pass it to me please"";;;;""624954396766511104",,,
One time I brought my kids to work with me and now my boss is way more tolerant of my drinking.,,,
My 401k is whatever’s left on this Starbucks gift card,,,
"Pitching a marriage game show called ""Fine or Not Fine?"";;;;""727217539529338881",,,
Olive Garden didn't treat me like family. If they did they would've blown cigarette smoke in my face + told me what a disappointment I am.,,,
(to my date after each preview at a movie) the actual film will be much longer than that,,,
"[Emergency Room] MRS. PIÑATA: Will my husband make it, doc? DOCTOR *slurping on sucker*: We'll do what we can but he's lost a lot of candy",,,
I'm not sure if this woman in the Starbucks line ahead of me is ordering a drink or casting a spell.,,,
Of course everyone seems sexy in a nightclub. There's liquor and you can't hear them.,,,
I’m hip. I’m cool. I’m with it. I’m lying.,,,
pic.twitter.com/9Zxe7QUTyG,,,
The Shining is my favorite movie about what can happen when you spend too much time with family.,,,
I wish I could replace my central nervous system with a central confidence system.,,,
Me: Would you rather have a smart woman or a beautiful woman? Him: Neither. I'd rather have you.,,,
"A GPS, but for where I was going with this.",,,
Wife: Did you give the kids a bath? Me: Yes. Wife: Did you give them a bath TODAY? Damn. She knows about that loophole.,,,
"Men shop the same way they make love. They figure out what they want: a quick in and out, then home in time to watch the game.",,,
Me: It's a dark comedy with no romance and everything goes wrong for the main character. Her: Which film? M: Film? I'm describing my life.,,,
Any sandwich is a panini if you sit on it.,,,
Saw some idiot put a water bottle where the Pringles go on the treadmill.,,,
"My therapist is right, you need help.",,,
"I don't understand how God can have Ten Commandments for the whole world, and my wife can have 152 just for our house.",,,
Oh please. If I took the time to be embarrassed by my mistakes I'd never get anything else done.,,,
"The human body can survive three weeks without food, three days without water but only three hours without wifi.",,,
Extra virgin olive oil is just like regular olive oil but with more Star Wars action figures.,,,
"""Tonight's special is food your children didn't eat, served over the sink."";;;;""616406478048497664",,,
"When it comes to a war of wills, I'm no match for the last cookie.",,,
"Just saw a man wearing a pager. Apparently, he's expecting a very important call from someone in 1994.",,,
Me: I wouldn't miss it for the world. Friend: It was yesterday.,,,
"co-pilot: ""ask in a way that won't panic everyone"" pilot: ""ok"" [via intercom] ""is there a fireman on the plane?"";;;;""717020972725977088",,,
You had me at hello...oh you weren't talking to me.,,,
CONGRATULATIONS @Funnyoneliners FOR REACHING 1 MILLION FOLLOWERS!!!! pic.twitter.com/ObAOueHzZ4,,,
The first bee is always the calm before the swarm.,,,
I smothered my first husband with kisses and kept doing it just until the paramedics arrived; then I made it look like I was giving him CPR.,,,
"The mansion in this real estate ad has a great room, a panic room, & an office. My house does too but I just call it the bathroom.",,,
"Have my doubts about this ""smart water,"" considering how easily it's captured and bottled.",,,
Shout out to all my fans out there! [mom stands up and waves],,,
Sometimes I do this cute thing where I talk my wife into a movie she doesn't want to watch and then fall asleep halfway through.,,,
"Diet Journal, April 16th: Ate 3 saltines like a wolf pack taking down a caribou.",,,
"Maybe mama duck isn't leading her babies, maybe she's trying to outrun them.",,,
My mother talks into the phone like a combat soldier calling in air support.,,,
TIP: Make sure the other person has their hand up before you attempt a fist bump.,,,
in high school I was voted 'who is that? does she even go to our school? Never saw her before',,,
[shipwreck diary] Day 5: I haven't had sex in over 6 months,,,
"When in doubt, just do the opposite of whatever the person wearing pajamas in public is doing.",,,
Apple is close to selling its billionth iPhone. And 7 billionth screen. pic.twitter.com/hAzQozLIyi,,,
"""How do you find anything in here?!"" -my mugger, giving my purse back",,,
A thing I learned at this week's staff meeting is I like to cuddle as I fall asleep.,,,
I just assume I do everything wrong since I don't have a wife to confirm it.,,,
I am not narcissistic. I just wonder how all of this pertains to me,,,
Me: *gets on scale* 5yo: Whoa! That's a lot of points!,,,
I wish there was a way to keep in touch with dogs I meet outside of grocery stores.,,,
My favorite myth is the one where I tell you I'll be there on time.,,,
Trust is the absolute most important thing in a relationship. You've gotta be 100% sure that she won't tell your Wife,,,
I've never enjoyed my surprise birthday parties because all I can think about is how good my friends are at lying to my face.,,,
"""Here kitty, kitty, kitty"" - me, drunk, about to get bit by a raccoon",,,
[3-year-old rides her bike] Me: I taught her everything she needs to know Wife: Braking? Me: I taught her half of what she needs to know.,,,
Few indicators of sobriety are as effective as when you realize the escalator you have been riding for 5 minutes is actually a stairway.,,,
*stands naked in front of a mirror I really chose the wrong eating disorder.,,,
Life is not like a box of chocolates. Life is more like opening the freezer and having everything fall onto you.,,,
[date] HER: So do you like Star Wars? ME: Oh yeah HER: Who's your favorite character? ME: *nervously looking at smudged notes* Yoga,,,
*wakes up from 2 year coma surrounded by friends & family Where's my phone?,,,
"Sorry ladies, but I already got my eyes on a woman who's not interested.",,,
"""I'm so sorry to tell you this, but you can't have children."" -my bank account",,,
HR called me in today and told me I have a bad attitude. So they're transferring me over to IT and giving me a raise.,,,
Charles Barkley sounds like a made-up name a dog would think of to get into a fancy country club.,,,
My favorite book is the dictionary because it has all the other books in it,,,
"""What if I tried to put a ball somewhere and you tried to stop me"" -guy who invented sports",,,
I've been hearing noises in the house for a while now and while Twitter was down last night I discovered I have a wife!,,,
my cab driver's fighting with his girlfriend on speakerphone as if I don't exist which is apparently how she's been feeling,,,
"Ok ma'am, before I let you purchase this minivan, I need to be sure that you can back into a pole that's clearly behind you ""Oh no problem"";;;;""717443711160885248",,,
Smart dogs sit near the toddler at meal time.,,,
Why do you look surprised in all your selfies? Didn't you know you were taking the picture?,,,
My brother came over with his two young sons and I had to child-proof the entire house by closing the blinds and not answering the door.,,,
I'm in a long distance relationship. My girlfriend's in the future.,,,
My coworker is pregnant and they passed a card around and I didn't know what to write so I just put HAVE A GOOD BABY TANYA,,,
You know you're good when they have to add an amendment to the company handbook cause they never thought anyone would do what you did,,,
I can tell what kind of mood she’s in just by what she’s throwing at me.,,,
"My wife always accuses me of having a favourite child. It's not true, I love Matthew and Not-Matthew equally.",,,
There should be a summer camp for adults where you just go and sleep for 3 weeks.,,,
My wife just asked me if I was busy. Nothing good can come from this.,,,
I'm 30 years old and I've watched Frozen 18 times this week... For those of you out there thinking about having unprotected sex tonight...,,,
"I'd have murdered my husband years ago, but the only place w/ more laundry than my house is prison.",,,
There are no warrants out for my arrest so we could go basically anywhere on a date.,,,
I finally told her those three magic words every woman longs to hear: I. Give. Up.,,,
Break into your neighbor's house every night but don't take anything just put a cape on their dog,,,
"After announcing our weight at birth, parents shouldn’t stop. If they announced it at every birthday, we’d all be a lot skinnier.",,,
The only woman in my life who regularly calls to see if I'm ok works at MasterCard.,,,
An optimist sees the glass as 1/2 full. A pessimist: 1/2 empty. An optometrist sees the glasses as 1/2 off with the purchase of a 2nd pair.,,,
I just smiled at someone and they didn't smile back. I'll never do that again.,,,
I'd have to say the most attractive quality in a man is when he loses interest in me.,,,
"I hope one day, I can be powerful enough to tell someone that they should've killed me when they had the chance.",,,
Interviewer: Where do you see yourself in 5 years? Me: I’d say I’m a good listener.,,,
"I have a feeling I already know which direction my ""Get rich or die trying"" lifestyle is headed.",,,
Learn from your mistakes. Make better & better mistakes until you're making the best mistakes possible.,,,
My dad gave me a set of golf clubs. Hoping someone tries to break into my house pretty soon so I can try them out.,,,
"Technically, this isn't a thumb war because it was never declared by congress. It's just a thumb police action.",,,
"I saw an ad for burial plots and I thought, that's the last thing I need.",,,
"We could be friends, but you don't seem like the type of person I could borrow money from.",,,
"[spelling bee] Your word is 'dad' ""Can you use it in a sentence?"" I'm not mad at you, just disappointed",,,
My wife takes my paycheck & gives me an allowance. She should run for public office.,,,
Why are people always kicking things to the curb? If you really wanna get rid of something kick it to the middle of the street.,,,
Sometimes I wonder if my cat ever thinks about finding her biological siblings.,,,
"*covered in dog hair ""Aww, you must play with your dog a lot."" *covered in cat hair ""Aww, you must be pretty lonely."";;;;""716733219677216768",,,
Sitting in traffic like the non-helicopter owning loser that I am.,,,
Magic words that make my children disappear: 3) Bath time 2) Who did this?! 1) When I was your age...,,,
"*Alcohol Anonymous Meeting* Hi, my name is Bacchus and I have a problem...",,,
My husband brought home one happy meal for two kids. Frankly things would have been less dramatic if he'd brought home a girlfriend.,,,
"U.S. DEPT OF FORESTRY: Sir, we believe you're hunting illegally GUY IN ALL CAMO W/ ORANGE HAT: *takes off hat* USDOF: Dammit we lost him",,,
"Maybe if we all sit extremely still, Monday won't be able to see us",,,
Thanks to all the different kinds of craft beers my severe alcoholism just seems like a cool neat hobby.,,,
Who decided that the abbreviation for pound should be two letters it doesn’t contain?,,,
My phone has better health insurance than I do.,,,
I need an Instagram filter that makes it look like I went outside.,,,
"Mom don't worry, we were in rehab together.",,,
"Me: ""Bless me father, it's been 13,505 days since my last confession."" Priest: ""You're off to a bad start."";;;;""694251220094054400",,,
Surfing is a good choice for people who like skateboarding but wish it had more sharks.,,,
My family's recipe for lasagna has been handed down for generations: 1. Collect the freshest ingredients 2. Find a woman cook it 3. Eat,,,
"""I can't feel my legs"" --mermaids",,,
"Mirror mirror on the wall, why do all my selfies look dopey?",,,
How to put on deodorant: 1. Apply deodorant. 2. Wait two seconds. 3. Try and remember if you put on deodorant. 4. Reapply deodorant.,,,
One day you will meet someone so amazing in every way who will want absolutely nothing to do with you.,,,
"And then one day we decided we were tired of sleeping in and doing whatever we wanted whenever we wanted in a clean house, and we had kids.",,,
"Just tried to parallel park. 5 people are injured, 3 critical, 6 missing. The casualties continue to mount",,,
Hair Stylist: What are we doing today? Me: Let's do something that will look great here but I'll have no chance of replicating at home,,,
Took my dog to a bonfire and as he sat there staring at it blankly I realized he loves sticks. I was burning a giant pile of his toys.,,,
"Be a good dad When your son wants to play catch, do it When he needs a hug, give one When he wants to play drums, tell him his mom said no",,,
I said I was good at making decisions. I didn't say the decisions I made were good.,,,
Nice Fitbit bro. I didn't realize that they had a model you can wear around your ankle.,,,
Next time you order coffee at Starbucks tell them your name is Bueller and then leave the store.,,,
"Led Zeppelin's ""In My Time Of Dying"" is my favorite song about a man with a touch of a cold.",,,
"ME: you don't look anything like your profile photo TINDER DATE: LOL no, that's my pug, Arthur *silence for 10mins* ME: is Arthur coming or",,,
[text] Me: Where are you? Boy: home Me: Let's verify that. You have 3 minutes to send me a photo of the inside of our freezer.,,,
Imagine being 5 minutes from the end of the longest movie ever & it starts over because it forgot something. That's my kid telling a story.,,,
Making car payments is the lease of my worries.,,,
Smartphone? Not the way I use it.,,,
"Working out in my basement. So far, no one has hit on me.",,,
Just pretend the person in the mirror is your fatter clone.,,,
Global warming is caused by people being uncool.,,,
There's no such thing as a five second rule if you're putting it on someone else's plate.,,,
Sometimes I buy enormous pants and take a picture of myself holding them up just to feel like I lost a ton of weight.,,,
"[Testing Cat-Human Translator] Scientist: Cat, what is your name? Cat: I AM KANG THE DESTROYER Owner: It's not working. His name is Socks.",,,
Married sext: you were so good in bed last night... I didn't hear you snore once,,,
"With classics like ""I like you, but not as much as the rest of our family,"" I feel our 4yo would dominate the greeting card industry.",,,
"I'm no scientist, but I'm sure that gravity is at it's strongest while laying in bed early in the mornings.",,,
"""Hello, 911? Hi, I was just wondering: is it stop, drop, THEN roll? Cause my friend--STOP SCREAMING, I'M ASKING THEM"";;;;""383676673457008640",,,
Why would they hang a whole jury just because they couldn't make up their minds?,,,
One day insomniac toddlers will rule the Earths surface and my daughter will be their Queen,,,
The couple who bought my house were practically standing in the litter box when they asked where the third bathroom was. I mean...duuuuhh.,,,
"Hey girl, are you Juicy Fruit gum because I thought you were really awesome for about 30 seconds",,,
You never really know if you're over someone until you're in the car and they're in the crosswalk.,,,
"I'm not ignoring you, I'm being mysterious.",,,
"""Boss, I've got a probl-"" ""There are no such things as problems, only opportunities"" ""Oh, ok. I've got a serious drinking opportunity"";;;;""476850373681217536",,,
"In Greek mythology, the half-man half-horse creature would gallop around and shout obscenities so that he could be the centaur of attention.",,,
The worst part about being drunk and seeing double is when you realize it's just one slice of pizza.,,,
"Dogs Barking at Night Translated Dog 1: Hey! I’m a dog! Dog 2: No way! I, too, am a dog! Dog 3: Ok, you guys aren't going to believe this...",,,
No I don't want to ride in a basket beneath your giant flying fire tent.,,,
“I may not be right but at least I won the argument…” ~Women,,,
Jeez...You'd think a guy would be flattered waking up to 47 text messages.,,,
"My favorite Greek philosopher was Tentacles. His work just grabs me, ya know?",,,
Migraines aren’t all that bad if you think of them as delayed hangovers from that time in college you woke up feeling perfectly fine.,,,
Behind every woman is a man looking at other ones.,,,
"And all the girls say I'm pretty fly for a white guy. Alright, some of the girls. Fine, one of the girls. It's my mom. My mom says I'm fly.",,,
Tweets are actually just brain selfies.,,,
"""I'm on it!"" - someone who's about to wreck it",,,
"I’m supposed to love my neighbor the way I love myself, so now I compulsively overfeed her and lie awake at night fearing she’s worthless",,,
Live tweeting from the top of a ladder. UPDATE: Live tweeting from the bottom of a ladder. UPDATE: Live tweeting from the emergency room.,,,
Relationship status : Taken (for granted),,,
"When 100 couples were asked ""why did you decide to have kids"" the most popular answer was ""because we hate our money."";;;;""708844463158894592",,,
I don't like who I become when I have to get out of bed.,,,
Congratulations! Your software finally irritated me into upgrading it,,,
"I put my shoes on before my pants to remind myself life ain't easy, son.",,,
I'm self-deprecating but in an amaaaaaazing way,,,
My superpower is to scrutinize my husband's driving decisions until he questions his will to live.,,,
Turned my lights off for Earth Hour and I've never had so many other cars honking at me.,,,
I hate it when I call someone and they answer the phone.,,,
"""I want to swim with an overweight, rich white guy before I die."" - Dolphin bucket list.",,,
Age 20: Gotta get ripped for Spring Break! Age 25: Exercise reduces stress! Age 35: My doctor says I'll die immediately if I don't do this,,,
"Turns out I’m not an afternoon person, either.",,,
If you leave a bottle of Ritalin inside a Ford Fiesta it will become a Ford Focus.,,,
"Hamsters seem pretty dumb running in their wheel, don't they. *scroll* *scroll* *scroll* *pause* *scroll*",,,
"A man of few words, is usually married.",,,
"If you listen real closely to my kids arguing, you'll hear the sound of me pouring a glass of wine.",,,
"Kid: Mommy's last name must be ""Honey"" cuz that's what daddy calls her Teacher: That's SWEET. What's her first name? Kid: ""Sorry,"" I think",,,
My son recovered from his illness while I was filling out all the paperwork in the waiting room.,,,
"A ""clear memory"" button, but for my brain. And while we're at it, a ""delete cookies"" button, but for my thighs.",,,
Let's never discuss this again until the next time I decide to bring it up. ~ Women,,,
Me: I must be out of my mind. Me: You and me both.,,,
[ultrasound] DOCTOR: oh my god! HER: what's wrong? DOCTOR: Ok don't panic but it looks as though you swallowed a baby,,,
My enemies are gonna be so sorry if I ever get out of this bean bag chair.,,,
"Doctor: ""I think this patient is dying. What blood type is he?"" Nurse: ""B positive."" Doctor: ""Okay. I don't think this patient is dying."";;;;""614749410518507520",,,
"Me: *hugs the baby* Now that I have kids, I finally know how you feel, Dad Dad: Constantly disappointed? Me: What? Dad: I said I love you",,,
PSYCHIC: hello ME: how did you know that,,,
"I don't know what century you guys live in, but all my clocks change themselves.",,,
My apologies to anyone who has to eat dinner with one of my children in the future. Please know I tried.,,,
"Slowly, Waldo's wife and Mr. Sandiego started putting the pieces together.",,,
"[marriage counseling] She thinks I make bad decisions ""He hired a clown for my nana's funeral"" PEOPLE NEEDED CHEERING UP, KAREN",,,
"I entered ten puns in a contest, and I thought I would win, but unfortunately, no pun in ten did...",,,
"""So, you're going that way? Cool. Me too."" - Dogs",,,
I always wonder what the nurses reaction was like after I leave a half eaten sandwich in a coma patients hand.,,,
I think the Discovery Channel should be a different channel everyday.,,,
I would organize my thoughts but I'm afraid they would form a union and demand benefits.,,,
"I am born of physics, compiled by chemistry, evolved by biology, exist in ecology and decay into geology.",,,
*wants to be a legend* *becomes cautionary tale*,,,
Relationship status: my girlfriend takes more selfies with the cat than with me,,,
I don't like to be difficult but I'm good at it.,,,
"Mum just said ""you treat this place like a hotel"". Which she may regret when I give a lower score on Tripadvisor for 'rude staff'.",,,
I just saw a guy with a Support Dyslexia bumper sticker on the front of his car.,,,
What do we want? A CURE FOR PARANOIA When do we want it? WHO WANTS TO KNOW,,,
It's my ninth anniversary on Twitter. I could not have done it without my ex-wife and my kids whose names I no longer remember.,,,
I taped a Weather Channel logo on our living room window. It’s like having an extra TV.,,,
Bands who can't afford a smoke machine should hire my girlfriend to cook at their concert,,,
I parallel parked today without turning down the radio,,,
Nobody talk to me until I've Instagrammed my coffee.,,,
