Original Tweet,Text of tweet,Hashtags,Users tagged,length,Class
"And determined to have ""population exchanges"" to create homogenous societies as a path towards peace. That worked oÃ¢â‚¬Â¦ https://t.co/rQWgwAVOfc",And determined to have population exchanges to create homogenous societies as a path towards peace That worked oÃ¢â‚¬Â¦,,,146,S
"@ReutersPolitics Why would the peace loving, innocent US choose to do that? #sarcasm #warmongers #Election2016",Why would the peace loving innocent US choose to do that,sarcasm Election2016 warmongers,ReutersPolitics,110,S
@squawkfox @preetbanerjee @cdnbiz Allow me to add to this #Bleh . How will Mutual Funds survive? #Sarcasm,Allow me to add to this How will Mutual Funds survive,Sarcasm Bleh,squawkfox cdnbiz preetbanerjee,105,S
Medical system at it's finest. Doc knows what to do but insurance won't cover treatment unless 1000's are wasted on other tries 1st #SARCASM,Medical system at it s finest Doc knows what to do but insurance won t cover treatment unless 1000 s are wasted on other tries 1st,SARCASM,,140,S
@Daily_Express This is really a great 'club' to belong to isn't it? #sarcasm #fueu,Express This is really a great club to belong to isn t it,sarcasm fueu,Daily_Express,82,S
"Wear headphones even when not listening to music to
  stop people from bothering you.
  
  #SurvivalTip
  #Sarcasm
  #Comedy",Wear headphones even when not listening to music to stop people from bothering you,Sarcasm Comedy SurvivalTip,,124,S
@Kotaku @Deadspin wow that will really impact the game play!! #sarcasm,wow that will really impact the game play,sarcasm,Deadspin Kotaku,70,S
@kumailn my PTSD experiences have been nothing but filled with joy and non mind altering realities. #sarcasm,my PTSD experiences have been nothing but filled with joy and non mind altering realities,sarcasm,kumailn,108,S
Alternative energy companies are doing so great though!!! #sarcasm https://t.co/ZNIZ4mpETw,Alternative energy companies are doing so great though,sarcasm,,90,S
Monday'sÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š #lol #lmao #me #af #Monday #mcm #work #workmode #funny #laugh #jokes #sarcasmÃ¢â‚¬Â¦ https://t.co/v2U45MQIz4,Monday sÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š,me funny mcm laugh lmao Monday af work sarcasmÃ¢â‚¬Â¦ lol jokes workmode,,135,S
Wow @CVS_Extra gave me a whole dollar! #NotExcited #Sarcasm https://t.co/3EY2JHI8BI,Wow Extra gave me a whole dollar,NotExcited Sarcasm,CVS_Extra,83,S
heard you guys had some intense clown sightings. good job on keeping the kids calm #sarcasm #jjpearce,heard you guys had some intense clown sightings good job on keeping the kids calm,jjpearce sarcasm,,101,S
@corywoody13 so you could only do it this weekend? Wow tough teacher #sarcasm :),so you could only do it this weekend Wow tough teacher,sarcasm,corywoody13,80,S
Pretty strong take. #sarcasm #wordsalad https://t.co/vMaLRKn4pM,Pretty strong take,sarcasm wordsalad,,63,S
"@generalelectric lost $6.1 billion in 2015. Wow, they are so dumb. #sarcasm https://t.co/zVgNrlSUMx",lost 6 1 billion in 2015 Wow they are so dumb,sarcasm,generalelectric,99,S
let's be honest. She managed to sell coffee to Brazil so she knows what she is talking about #sarcasm https://t.co/0ZJ2NpPgA6,let s be honest She managed to sell coffee to Brazil so she knows what she is talking about,sarcasm,,125,S
@BrentBozell @newsbusters I have no idea why @RollingStone is going out of business #sarcasm,I have no idea why is going out of business,sarcasm,newsbusters RollingStone BrentBozell,92,S
"@EnglishTommy1 It's just a bunch of white guys who have been hitting the tanning salons, Tommy! Nothing to worry about! #sarcasm",It s just a bunch of white guys who have been hitting the tanning salons Tommy Nothing to worry about,sarcasm,EnglishTommy1,128,S
@sarcastic_us If she said she don't have a bf ... block him. #sarcasm,us If she said she don t have a bf block him,sarcasm,sarcastic_us,69,S
"Cheers @TLRailUK, we're really enjoying the train to Sutton being reduced to just FOUR carriages #sarcasm Don't apologise, you don't mean it",Cheers we re really enjoying the train to Sutton being reduced to just FOUR carriages Don t apologise you don t mean it,sarcasm,"TLRailUK,",140,S
"It's said that #sarcasm is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!""",It s said that is the lowest form of To that I say No really Hey somebody give this person a,"sarcasm wit. peace prize!"" Nobel",,134,S
You mean trying to force people to pay for other peoples' stuff isn't popular or profitable? #sarcasm https://t.co/Il7fSREvQY,You mean trying to force people to pay for other peoples stuff isn t popular or profitable,sarcasm,,125,S
"She is a mum, she knows what she is talking about #sarcasm https://t.co/4xljm73VSm",She is a mum she knows what she is talking about,sarcasm,,82,S
We've had the first Black-American president. How about the first Orange-American? #diversity #sarcasm,We ve had the first Black American president How about the first Orange American,sarcasm diversity,,102,S
@ChrisCuomo he will be a great president https://t.co/S0FxPCXSRy #sarcasm,he will be a great president,sarcasm,ChrisCuomo,73,S
That magical feeling you get inside when your fave number 8 bus is 13 mins late #sarcasm @StagecoachEScot,That magical feeling you get inside when your fave number 8 bus is 13 mins late,sarcasm,StagecoachEScot,105,S
"@KatMcKinley Yeah, because who dares speak their minds and the truth.#? #sarcasm So you prefer the same liars who created the problem?",Yeah because who dares speak their minds and the truth So you prefer the same liars who created the problem,sarcasm,KatMcKinley,134,S
"Yeah, no Cornbread we put you on the block because we know you won't go home... #Sarcasm #BBOTT https://t.co/98QvPFOXOP",Yeah no Cornbread we put you on the block because we know you won t go home,Sarcasm BBOTT,,119,S
"@Artist_Angie Has no one started a gofundme campaign for her? What is this world coming to?
  
  #sarcasm",Angie Has no one started a gofundme campaign for her What is this world coming to,sarcasm,Artist_Angie,105,S
"@artiequitter place is real small Art , after you get in I don't think theres going to be any room left for your audience ! #sarcasm",place is real small Art after you get in I don t think theres going to be any room left for your audience,sarcasm,artiequitter,132,S
@zombapocal @OddNMacabre Too many sharp teeth ~ he'd tear you apart! #Trump is a clown ~ is he friendly? #sarcasm #TrumpisaJoke,Too many sharp teeth he d tear you apart is a clown is he friendly,sarcasm TrumpisaJoke Trump,zombapocal OddNMacabre,127,S
"Current mood at work with a wicked sore throat &amp; loads of client work... ""exuberant + thrilled""
  #sarcasm gotta #thinkpositive",Current mood at work with a wicked sore throat amp loads of client work exuberant thrilled gotta,sarcasm thinkpositive,,131,S
"#pineapplepen #dream #pen #apple #pineapple #sarcasm 
  Apple pen pineapple pen https://t.co/Q6LNiGPKCI https://t.co/jfNbL0lvSI",Apple pen pineapple pen,apple sarcasm pen pineapplepen pineapple dream,,127,S
@piersmorgan but France has really strict gun laws how could this happen? #sarcasm,but France has really strict gun laws how could this happen,sarcasm,piersmorgan,82,S
The outpouring of emotion over @KimKardashian getting robbed is amazing. #sarcasm,The outpouring of emotion over getting robbed is amazing,sarcasm,KimKardashian,81,S
#intwmn women are being killed for rejecting men but it's still our faults? Makes sense. #sarcasm,women are being killed for rejecting men but it s still our faults Makes sense,sarcasm intwmn,,97,S
Today is a perfect day to have cramps. Ã°Å¸â€˜Å’Ã°Å¸ÂÂ¼ #sarcasm #ImInPain,Today is a perfect day to have cramps Ã°Å¸â€˜Å’Ã°Å¸ÂÂ¼,sarcasm ImInPain,,75,S
Shout out to the drastic weather change for triggering mine and my bro's allergies. #sarcasm,Shout out to the drastic weather change for triggering mine and my bro s allergies,sarcasm,,92,S
School bans children from running in playground https://t.co/WbelbC7h6q Because banning children from running is such a good idea #sarcasm,School bans children from running in playground Because banning children from running is such a good idea,sarcasm,,138,S
I expect robert and rebecca kiss trending by end of the day.. #sarcasm @emmerdale,I expect robert and rebecca kiss trending by end of the day,sarcasm,emmerdale,81,S
"Behind every successful failure of your relationship there was tireless effort of your dear ones.
  #sarcasm #wit #LovesLaboursLost",Behind every successful failure of your relationship there was tireless effort of your dear ones,sarcasm wit LovesLaboursLost,,131,S
Is Canada falling for the Chinese conspiracy of climate change?! Ã°Å¸ËœÂ±#sarcasm #DumpTrump #Canada #ClimateChange https://t.co/zcwIAxWDvy,Is Canada falling for the Chinese conspiracy of climate change Ã°Å¸ËœÂ±#sarcasm,Canada DumpTrump ClimateChange,,139,S
I can dress homeless and take bad pictures too! Wow hipsters are great! #sarcasm #stopit #youdontneedglasses #hipsters #theyreeverywhere,I can dress homeless and take bad pictures too Wow hipsters are great,sarcasm youdontneedglasses theyreeverywhere hipsters stopit,,136,S
"@TomiLahren Wow, that is some hard-hitting reporting right there! #sarcasm",Wow that is some hard hitting reporting right there,sarcasm,TomiLahren,74,S
@AP What? they arrest people for that. IÃ¢â‚¬â„¢m shocked..#sarcasm,What they arrest people for that IÃ¢â‚¬â„¢m shocked,,AP,67,S
"But at least I teach courses on terrorism, political protest and social justice. Nothing controversial there thankfully. #Sarcasm detected",But at least I teach courses on terrorism political protest and social justice Nothing controversial there thankfully detected,Sarcasm,,138,S
"@vikramuk that was #sarcasm but yeah. You are right about Nexusish phone.Hope Ã Â¤Â¸Ã Â¤Â¬Ã Â¥ÂÃ Â¤Â° Ã Â¤â€¢Ã Â¤Â¾ Ã Â¤Â«Ã Â¤Â² Ã Â¤Â®Ã Â¤Â¿Ã Â¤ Ã Â¤Â¾ Ã Â¤Â¹Ã Â¥â€¹Ã Â¤Â¤Ã Â¤Â¾ Ã Â¤Â¹Ã Â¥Ë† (Ã Â¤â€Ã Â¤Â° Ã Â¤ÂµÃ Â¥â€¹ Apple Ã Â¤Â­Ã Â¥â‚¬ Ã Â¤Â¹Ã Â¥â€¹ Ã Â¤Â¸Ã Â¤â€¢Ã Â¤Â¤Ã Â¤Â¾ Ã Â¤Â¹Ã Â¥Ë† )
  ;-)",that was but yeah You are right about Nexusish phone Hope Ã Â¤Â¸Ã Â¤Â¬Ã Â¥ÂÃ Â¤Â° Ã Â¤â€¢Ã Â¤Â¾ Ã Â¤Â«Ã Â¤Â² Ã Â¤Â®Ã Â¤Â¿Ã Â¤ Ã Â¤Â¾ Ã Â¤Â¹Ã Â¥â€¹Ã Â¤Â¤Ã Â¤Â¾ Ã Â¤Â¹Ã Â¥Ë† Ã Â¤â€Ã Â¤Â° Ã Â¤ÂµÃ Â¥â€¹ Apple Ã Â¤Â­Ã Â¥â‚¬ Ã Â¤Â¹Ã Â¥â€¹ Ã Â¤Â¸Ã Â¤â€¢Ã Â¤Â¤Ã Â¤Â¾ Ã Â¤Â¹Ã Â¥Ë†,sarcasm,vikramuk,302,S
@ArvindKejriwal -The indian donald trump s nw in evry news in both india n pak for 2 days!!Well played sir!!publicity at no cost!! #sarcasm,The indian donald trump s nw in evry news in both india n pak for 2 days Well played sir publicity at no cost,sarcasm,ArvindKejriwal,139,S
See even Chanakya knew it! #Sarcasm https://t.co/iBKEnKJBLK,See even Chanakya knew it,Sarcasm,,59,S
Who were they wearing? @Elaine_Quijano shoulda asked. #Sarcasm https://t.co/j4jqnw4sJm,Who were they wearing Quijano shoulda asked,Sarcasm,Elaine_Quijano,86,S
@ovosecs @biebsblunts Omg you got me there I better leave before I get roasted some more #sarcasm,Omg you got me there I better leave before I get roasted some more,sarcasm,biebsblunts ovosecs,97,S
GOD FORBID someone use someones owns words when talking about them!! #Sarcasm https://t.co/JwdEYrkFI8,GOD FORBID someone use someones owns words when talking about them,Sarcasm,,101,S
@Bell retention department is trying really hard to keep customers #sarcasm #bellcanada #badcustomerservice #lookingforanewprovider,retention department is trying really hard to keep customers,lookingforanewprovider sarcasm badcustomerservice bellcanada,Bell,131,S
Look at this terrorist Muslim taxi driver walking an old lady to her doorstep! #Sarcasm #Humanity #FreePalestine https://t.co/W8t84ASXm3,Look at this terrorist Muslim taxi driver walking an old lady to her doorstep,Sarcasm FreePalestine Humanity,,136,S
But it looks so much shinier and bigger! I'm totally getting #valueformoney buying ink in a container in a containeÃ¢â‚¬Â¦ https://t.co/gpgsCrrhA6,But it looks so much shinier and bigger I m totally getting buying ink in a container in a containeÃ¢â‚¬Â¦,valueformoney,,146,S
@JaredWyand How Shocking....#sarcasm,How Shocking,,JaredWyand,36,S
"The friendzone is a wonderful place to be. I highly recommend the centre.
  #sarcasm
  Ã°Å¸ËœÂª",The friendzone is a wonderful place to be I highly recommend the centre Ã°Å¸ËœÂª,sarcasm,,95,S
#Sarcasm vs #Patronizing who will win?,vs who will win,Sarcasm Patronizing,,38,S
4 games in 2 years to start his career? Great pick #Bears! #sarcasm https://t.co/fjA2nUd7fF,4 games in 2 years to start his career Great pick,Bears! sarcasm,,91,S
@refoman50 Yeah...cuz that's happening all over the place. #sarcasm #DiatribeOfARacistAsshole,Yeah cuz that s happening all over the place,sarcasm DiatribeOfARacistAsshole,refoman50,93,S
New Chorizo Burrito (spicy chicken/pork sausage) from @ChipotleTweets is terrible. I expect 100 gift cards to continue testing it. #sarcasm,New Chorizo Burrito spicy chicken pork sausage from is terrible I expect 100 gift cards to continue testing it,sarcasm,ChipotleTweets,139,S
"@JtBri Come on Joe,the rules dont apply2 #PROGe,just U&amp;I #sarcasm Can U say hypocrite?Sure I knew U could @katyperry @lenadunham @katewalsh",Come on Joe the rules dont apply2 just U amp I Can U say hypocrite Sure I knew U could,"sarcasm PROGe,just",lenadunham katyperry JtBri katewalsh,143,S
odd... no mention of #HRC here... huh... #sarcasm https://t.co/3u136Dk4jp,odd no mention of here huh,sarcasm HRC,,73,S
"@vikramuk you are forgetting about #MadeByGoogle
  We should be paying at least 15k just for that right???
  #sarcasm
  #Pixel #pixelphone",you are forgetting about We should be paying at least 15k just for that right,sarcasm MadeByGoogle pixelphone Pixel,vikramuk,138,S
https://t.co/GXiBThbJ7f ... SAME SIDES OF SAME COINS ... #ghazal #humor #hypocrisy #poetry #sarcasm #satire #UnconsciousPeople #poetry,SAME SIDES OF SAME COINS,humor UnconsciousPeople hypocrisy sarcasm satire poetry ghazal,,134,S
@independent This is obviously why God gave us two eyes #CanIGetAnAmen #Sarcasm #FuckFootball,This is obviously why God gave us two eyes,Sarcasm FuckFootball CanIGetAnAmen,independent,93,S
The political ads this year are very informative and useful. #sarcasm,The political ads this year are very informative and useful,sarcasm,,69,S
@Kingofthabear @ESPNNFL yes @NFL @nflcommish let's change rules cause one talent can't control his actions/emotions #sarcasm smh. Such baby.,yes let s change rules cause one talent can t control his actions emotions smh Such baby,sarcasm,ESPNNFL nflcommish NFL Kingofthabear,140,S
Hahaha this is so funny I spit my drink out!! @HillaryClinton &gt; wow such enthusiasm from your rallies! #sarcasm https://t.co/GHE4WpxjG2,Hahaha this is so funny I spit my drink out gt wow such enthusiasm from your rallies,sarcasm,HillaryClinton,138,S
What types of measures are there Dr Elwyn? Ideas #sarcasm #patientpref https://t.co/Vzyyq6ONdo,What types of measures are there Dr Elwyn Ideas,sarcasm patientpref,,94,S
Kim K isn't going to feel like going out in public after her ordeal? My life is over. Really. #sarcasm #smellslikealochte,Kim K isn t going to feel like going out in public after her ordeal My life is over Really,smellslikealochte sarcasm,,121,S
wow thanks for the warning #sarcasm Ã°Å¸Ëœâ€™ #MACSelena https://t.co/L18EA0xn8M,wow thanks for the warning Ã°Å¸Ëœâ€™,sarcasm MACSelena,,80,S
"@DrWhoOnline Did Peter not approve of @Pearlie_mack's joke, I wonder...? #Sarcasm #OrIsIt",Did Peter not approve of mack s joke I wonder,Sarcasm OrIsIt,DrWhoOnline Pearlie_mack's,89,S
"#AfghanConf welcomed Ghol-be-din RocketyarÃ¢â‚¬â„¢s contribution + his vintage battery acid to women empowerment, progress after 15yrs (#sarcasm)",welcomed Ghol be din RocketyarÃ¢â‚¬â„¢s contribution his vintage battery acid to women empowerment progress after 15yrs,AfghanConf,,145,S
@ryanjespersen yeah don't you know that everyone in Alberta thinks the exact same ALL THE TIME. #sarcasm,yeah don t you know that everyone in Alberta thinks the exact same ALL THE TIME,sarcasm,ryanjespersen,104,S
I love solicitors. #sarcasm,I love solicitors,sarcasm,,27,S
@magnifier661 #sarcasm Dont U just hate when U cant gather fake big crowds 2 maintain illusion of close race (cont) @millie_weaver @infowars,Dont U just hate when U cant gather fake big crowds 2 maintain illusion of close race cont weaver,sarcasm,magnifier661 infowars millie_weaver,140,S
F Bomb pendant necklace https://t.co/AmMlNQmH08 #sarcasm #WitticismsRus #funnygift #Jewelry https://t.co/DxeTj995tl,F Bomb pendant necklace,sarcasm funnygift Jewelry WitticismsRus,,115,S
Covering the REAL issue in the USA. #sarcasm #isthisreallife #isthisreal #cats #catÃ¢â‚¬Â¦ https://t.co/oCmW09yHuM,Covering the REAL issue in the USA,isthisreallife sarcasm isthisreal cats catÃ¢â‚¬Â¦,,114,S
And it's not at all to do with hacking breach... Oh no... Definately not. #Sarcasm https://t.co/OJNzYNLZFP,And it s not at all to do with hacking breach Oh no Definately not,Sarcasm,,106,S
@iTunes thanks for removing all my downloaded purchased songs from my computer so I can waste days redownloading it. Ã°Å¸ËœÂ¡#sarcasm,thanks for removing all my downloaded purchased songs from my computer so I can waste days redownloading it Ã°Å¸ËœÂ¡#sarcasm,,iTunes,133,S
"Other than the internet being absolutely crap (again) today, the internet's been great... #sarcasm @Plusnet @plusnethelp",Other than the internet being absolutely crap again today the internet s been great,sarcasm,plusnethelp Plusnet,120,S
"I'm so proud to be a @yorkcityfc today, so proud #sarcasm",I m so proud to be a today so proud,sarcasm,yorkcityfc,57,S
"Me: Can I use the bathroom?
  Teacher: Why?
  Me: To go unlock the chamber of secrets, why else?
  #schoolstruggles #sarcasm #WorldTeachersDay",Me Can I use the bathroom Teacher Why Me To go unlock the chamber of secrets why else,sarcasm WorldTeachersDay schoolstruggles,,142,S
@KatyTurNBC You're not looking forward to being white house correspondent in Trump Regime? #sarcasm,You re not looking forward to being white house correspondent in Trump Regime,sarcasm,KatyTurNBC,99,S
"@efekerem @YourAnonNews it seems he has very powerful weapons. he talks, he writes, he has a mind of his own. he has to be in jail #sarcasm",it seems he has very powerful weapons he talks he writes he has a mind of his own he has to be in jail,sarcasm,efekerem YourAnonNews,139,S
"Good Morning: If you keep hinting things out to me, whatever it is you're trying to do is gonna work.Ã¢â‚¬Â¦ https://t.co/JbFqcHTk6G",Good Morning If you keep hinting things out to me whatever it is you re trying to do is gonna work Ã¢â‚¬Â¦,,,132,S
Being racist to Asians is still funny and acceptable. #sarcasm https://t.co/SdMeNcRG9i,Being racist to Asians is still funny and acceptable,sarcasm,,86,S
@CPWildcat @tsnmike @SSJWHB Chris great point! never thought of that! #sarcasm,Chris great point never thought of that,sarcasm,CPWildcat tsnmike SSJWHB,78,S
Today has been a fantastic day so far. #sarcasm,Today has been a fantastic day so far,sarcasm,,47,S
New EFL rule will compel at least 75% of fans who attended last home league game to attend #CheckaTradeTrophy ties or face fines. #sarcasm,New EFL rule will compel at least 75 of fans who attended last home league game to attend ties or face fines,sarcasm CheckaTradeTrophy,,138,S
So glad I'm just now realizing that #gaytwitter is a thing. #sarcasm,So glad I m just now realizing that is a thing,sarcasm gaytwitter,,68,S
"@Steph_I_Will @BBCNewsEnts I thought the women were dudes in his plays? So we should be like men, got it. #sarcasm https://t.co/bnLhBSy07g",I Will I thought the women were dudes in his plays So we should be like men got it,sarcasm,Steph_I_Will BBCNewsEnts,138,S
"Buzzfeed make fake news???... Naaaa, impossible!! #Sarcasm https://t.co/TsNyIspApF",Buzzfeed make fake news Naaaa impossible,Sarcasm,,82,S
TrumpÃ¢â‚¬â„¢s ex-accountant is a man of MANY words #sarcasm #wtf,TrumpÃ¢â‚¬â„¢s ex accountant is a man of MANY words,sarcasm wtf,,65,S
"@jessefelder @BI_contributors 
  God help us, who came up with that brilliant idea?
  #sarcasm",contributors God help us who came up with that brilliant idea,sarcasm,BI_contributors jessefelder,94,S
"Another all-time high for Amazon. Wonder how long it will be before a Wall Street analyst slaps a $2,000 target on $AMZN? #sarcasm #orisit?",Another all time high for Amazon Wonder how long it will be before a Wall Street analyst slaps a 2 000 target on AMZN,orisit? sarcasm,,139,S
@washingtonpost low testosterone is the reason why Obama supports Clinton. Seems to be a logical explanation to me. #sarcasm,low testosterone is the reason why Obama supports Clinton Seems to be a logical explanation to me,sarcasm,washingtonpost,124,S
"@CBCNews or as Gibbons would say. The uniformed voters, hahaha. #sarcasm",or as Gibbons would say The uniformed voters hahaha,sarcasm,CBCNews,72,S
"@ArvindKejriwal pls take out some tym from ur bzy schdule(#sarcasm), &amp; watch today's #DNA, @sudhirchaudhary will end your pak propaganda!!",pls take out some tym from ur bzy schdule amp watch today s will end your pak propaganda,"DNA,",sudhirchaudhary ArvindKejriwal,142,S
October 5 and we have snow I'm so happy. #sarcasm,October 5 and we have snow I m so happy,sarcasm,,49,S
Looking forward to getting two cavities filled today! #sarcasm,Looking forward to getting two cavities filled today,sarcasm,,62,S
On the plus side Ty Kelly is batting 1.000 vs Bumgarner so maybe TC is on to something. #sarcasm. https://t.co/Y1AaTYO38l,On the plus side Ty Kelly is batting 1 000 vs Bumgarner so maybe TC is on to something,sarcasm.,,121,S
"@BrockWHarrison @RestaurantsCA But, but these ppl need a living wage paid for so they can enjoy what you have #sarcasm #abpoli #ndp",But but these ppl need a living wage paid for so they can enjoy what you have,sarcasm abpoli ndp,BrockWHarrison RestaurantsCA,131,S
@jntrky you mean yell at old men. #sarcasm,you mean yell at old men,sarcasm,jntrky,42,S
".@danpfeiffer ""Wow. Pence looked so polished by lying everything Trump said. Now I am gonna forget all about Trump &amp; vote for him"" #sarcasm",Wow Pence looked so polished by lying everything Trump said Now I am gonna forget all about Trump amp vote for him,sarcasm,,143,S
SO much fun listening to SEC and ACC coaches teleconferences. These guys are so forthcoming with new and exciting information! #sarcasm,SO much fun listening to SEC and ACC coaches teleconferences These guys are so forthcoming with new and exciting information,sarcasm,,135,S
"@JackOfKnaves @MoMohammad2 @Polygon Maybe because it's French, the install is bigger being with the language and all. #sarcasm",Maybe because it s French the install is bigger being with the language and all,sarcasm,JackOfKnaves MoMohammad2 Polygon,126,S
"..five weeks right there. Well, congratulations to you, Jean. #Sarcasm #letsgetplacesj",five weeks right there Well congratulations to you Jean,Sarcasm letsgetplacesj,,86,S
#MyNavratri with beef eating! #Sarcasm https://t.co/efoW3N4R4w,with beef eating,Sarcasm MyNavratri,,62,S
@BERollins I treat my dog better than my stepkids. Ok maybe not really. But sometimes I want to lol! They have too many opinions! #sarcasm,I treat my dog better than my stepkids Ok maybe not really But sometimes I want to lol They have too many opinions,sarcasm,BERollins,138,S
"I chose sarcasm when I realised life is too serious to be serious.
  #sarcasm #funny #laugh",I chose sarcasm when I realised life is too serious to be serious,sarcasm laugh funny,,91,S
@chrislhayes There you go again with your riot-causing rhetoric. #Sarcasm #Inners,There you go again with your riot causing rhetoric,Sarcasm Inners,chrislhayes,81,S
"Yeah, ok... He has such a believable way about him, doesn't he folks? #SarcasmÃ°Å¸Ëœâ€™ https://t.co/i6zWpoKJgA",Yeah ok He has such a believable way about him doesn t he folks,SarcasmÃ°Å¸Ëœâ€™,,111,S
"@AnthonyatIBM Oh, I'm sure they're just trying to keep us safe...
  #Sarcasm",Oh I m sure they re just trying to keep us safe,Sarcasm,AnthonyatIBM,76,S
I am Taken. #Sarcasm #taken https://t.co/BJWxRkWa0M,I am Taken,taken Sarcasm,,51,S
@McCulloughTimes but but what if the orioles have the lead later in the. Game?.?.?. #sarcasm,but but what if the orioles have the lead later in the Game,sarcasm,McCulloughTimes,92,S
"Good traffic day. 
  #sarcasm https://t.co/Ea6fM3XnER https://t.co/9xfdtHtJVy",Good traffic day,sarcasm,,77,S
@Harlan He along with hubby Bill oughta help her #sarcasm,He along with hubby Bill oughta help her,sarcasm,Harlan,57,S
@WesleyRickard he built an ice skating rink so now he should be President! Ice skating rinks for all cities! #sarcasm #nevertrump,he built an ice skating rink so now he should be President Ice skating rinks for all cities,sarcasm nevertrump,WesleyRickard,129,S
@WashCoScanner why? Wouldn't that end the great clown incident of 2016 - start shooting them and people will stop dressing as them #sarcasm,why Wouldn t that end the great clown incident of 2016 start shooting them and people will stop dressing as them,sarcasm,WashCoScanner,139,S
@ChubbDonnelly top banter you're the 1st person to say that #SARCASM,top banter you re the 1st person to say that,SARCASM,ChubbDonnelly,68,S
"#sarcasm forsale
  
  note:
  open to phd only
  rasuah accept
  
  PM **pi mampus",forsale note open to phd only rasuah accept PM pi mampus,sarcasm,,82,S
"This the fact.
  Always follow your dreams which remunerate you. 
  #sarcasm #motivation https://t.co/vEJolgIxxb",This the fact Always follow your dreams which remunerate you,sarcasm motivation,,112,S
@nprpolitics thank you for being so objective in your coverage #sarcasm,thank you for being so objective in your coverage,sarcasm,nprpolitics,71,S
Twitter this am #sarcasm https://t.co/rGgsNDhErX,Twitter this am,sarcasm,,48,S
@MichaelSkolnik @samswey sounds like a legit strategy #Sarcasm,sounds like a legit strategy,Sarcasm,MichaelSkolnik samswey,62,S
@theweeklytv oh no! My kids caught Muslim from eating #Vegemite quick tell @corybernardi his fears are #true #please #note #sarcasm,oh no My kids caught Muslim from eating quick tell his fears are,note true please Vegemite sarcasm,corybernardi theweeklytv,131,S
Don't be such an aromatic cancel lumberman... https://t.co/eqJyrcoxYC #sarcasm #justjokes #puns,Don t be such an aromatic cancel lumberman,sarcasm justjokes puns,,95,S
"You know, if it weren't for those pushy American lions, Chasmaporthetes could have been runnin' the joint. #Sarcasm https://t.co/07SS3c2vTb",You know if it weren t for those pushy American lions Chasmaporthetes could have been runnin the joint,Sarcasm,,139,S
@oneplus the delivery time of 5 weeks when the helpdesk says 10 days. Definitely my favorite feature. #sarcasm,the delivery time of 5 weeks when the helpdesk says 10 days Definitely my favorite feature,sarcasm,oneplus,110,S
Just think of how much @realDonaldTrump would be worth if he was a good businessman. #sarcasm #TrumpPence16,Just think of how much would be worth if he was a good businessman,TrumpPence16 sarcasm,realDonaldTrump,107,S
And then post it on social media #Fail #sarcasm https://t.co/fvINRIv6w4,And then post it on social media,Fail sarcasm,,71,S
I try to use #sarcasm instead of #punching you in the throat. So don't push it!,I try to use instead of you in the throat So don t push it,punching sarcasm,,79,S
#ThatMexicanThing @realDonaldTrump Idea of Hispanic outreach is celebrating with a Taco bowl out of Trump tower... How quaint...#Sarcasm,Idea of Hispanic outreach is celebrating with a Taco bowl out of Trump tower How quaint,ThatMexicanThing,realDonaldTrump,136,S
@harshkaur2 @Yulghar @Fauji_Doctor @despondent2016 yup looks like a desperate Pakistani #sarcasm https://t.co/hzEmVouylh,Doctor yup looks like a desperate Pakistani,sarcasm,Yulghar Fauji_Doctor despondent2016 harshkaur2,120,S
Thanks @TTUBusDriver this is the first time I've been late this semester. Appreciate it bro. #sarcasm https://t.co/zpEupQ7Fa0,Thanks this is the first time I ve been late this semester Appreciate it bro,sarcasm,TTUBusDriver,125,S
"@JasonWolf Gee, as a #Titans fan I'm just thrilled for him! #sarcasm",Gee as a fan I m just thrilled for him,sarcasm Titans,JasonWolf,68,S
"It's good to know my taxes are supporting @realDonaldTrump. I mean, he needs it more than the poor/disadvantaged/homeless/needy. #sarcasm",It s good to know my taxes are supporting I mean he needs it more than the poor disadvantaged homeless needy,sarcasm,realDonaldTrump.,137,S
@GilbyGilson @swheelscpa and we all know how amazing the college kids writing for SA are #sarcasm,and we all know how amazing the college kids writing for SA are,sarcasm,GilbyGilson swheelscpa,97,S
The saga of Red continues on a NEW @MRetailSlave ... why isn't this #Podcast in your subscription list? Fix that!Ã¢â‚¬Â¦ https://t.co/GRe1ZXBqnC,The saga of Red continues on a NEW why isn t this in your subscription list Fix that Ã¢â‚¬Â¦,Podcast,MRetailSlave,144,S
"@rudepundit Yeah, but you do realize there's no proof that any Mexicans made it past that wall. So there's that. #Sarcasm",Yeah but you do realize there s no proof that any Mexicans made it past that wall So there s that,Sarcasm,rudepundit,121,S
@dalton108 @washingtonpost Isn't it obvious? It's because President Obama is the founder of ISIS. #RepublicanPivot #Sarcasm,Isn t it obvious It s because President Obama is the founder of ISIS,Sarcasm RepublicanPivot,dalton108 washingtonpost,123,S
@gmknowles @nytimes But we got to remember there are no such bias in this world same as racism #Sarcasm,But we got to remember there are no such bias in this world same as racism,Sarcasm,gmknowles nytimes,103,S
