Tweet,Sarcasm(yes/no/no) Ravi,Sarcasm(Yes/No/no) Niranjana,Sarcasm(Yes/No/no) Priya
"Current mood at work with a wicked sore throat &amp; loads of client work... ""exuberant + thrilled""
  #sarcasm gotta #thinkpositive",yes,yes,yes
"#pineapplepen #dream #pen #apple #pineapple #sarcasm 
  Apple pen pineapple pen https://t.co/Q6LNiGPKCI https://t.co/jfNbL0lvSI",yes,yes,yes
@piersmorgan but France has really strict gun laws how could this happen? #sarcasm,yes,yes,yes
The outpouring of emotion over @KimKardashian getting robbed is amazing. #sarcasm,yes,no,yes
What? pendant necklace https://t.co/TyQnm7atMq #sarcasm #WitticismsRus #funnygift #Funny_pendant https://t.co/QpqeLZqqqR,no,no,no
#intwmn women are being killed for rejecting men but it's still our faults? Makes sense. #sarcasm,yes,yes,yes
Today is a perfect day to have cramps. ðŸ‘ŒðŸ¼ #sarcasm #ImInPain,yes,yes,yes
Shout out to the drastic weather change for triggering mine and my bro's allergies. #sarcasm,yes,yes,yes
School bans children from running in playground https://t.co/WbelbC7h6q Because banning children from running is such a good idea #sarcasm,yes,yes,yes
I expect robert and rebecca kiss trending by end of the day.. #sarcasm @emmerdale,yes,yes,yes
"Behind every successful failure of your relationship there was tireless effort of your dear ones.
  #sarcasm #wit #LovesLaboursLost",yes,yes,yes
Is Canada falling for the Chinese conspiracy of climate change?! ðŸ˜±#sarcasm #DumpTrump #Canada #ClimateChange https://t.co/zcwIAxWDvy,yes,yes,no
I can dress homeless and take bad pictures too! Wow hipsters are great! #sarcasm #stopit #youdontneedglasses #hipsters #theyreeverywhere,yes,yes,no
"@TomiLahren Wow, that is some hard-hitting reporting right there! #sarcasm",yes,yes,yes
@AP What? they arrest people for that. Iâ€™m shocked..#sarcasm,yes,yes,no
"But at least I teach courses on terrorism, political protest and social justice. Nothing controversial there thankfully. #Sarcasm detected",yes,yes,yes
"@vikramuk that was #sarcasm but yeah. You are right about Nexusish phone.Hope à¤¸à¤¬à¥à¤° à¤•à¤¾ à¤«à¤² à¤®à¤¿à¤ à¤¾ à¤¹à¥‹à¤¤à¤¾ à¤¹à¥ˆ (à¤”à¤° à¤µà¥‹ Apple à¤­à¥€ à¤¹à¥‹ à¤¸à¤•à¤¤à¤¾ à¤¹à¥ˆ )
  ;-)",no,yes,yes
@ArvindKejriwal -The indian donald trump s nw in evry news in both india n pak for 2 days!!Well played sir!!publicity at no cost!! #sarcasm,yes,yes,yes
See even Chanakya knew it! #Sarcasm https://t.co/iBKEnKJBLK,yes,yes,yes
Who were they wearing? @Elaine_Quijano shoulda asked. #Sarcasm https://t.co/j4jqnw4sJm,yes,yes,yes
@ovosecs @biebsblunts Omg you got me there I better leave before I get roasted some more #sarcasm,yes,yes,yes
GOD FORBID someone use someones owns words when talking about them!! #Sarcasm https://t.co/JwdEYrkFI8,yes,no,yes
@Bell retention department is trying really hard to keep customers #sarcasm #bellcanada #badcustomerservice #lookingforanewprovider,yes,yes,yes
Look at this terrorist Muslim taxi driver walking an old lady to her doorstep! #Sarcasm #Humanity #FreePalestine https://t.co/W8t84ASXm3,yes,yes,yes
But it looks so much shinier and bigger! I'm totally getting #valueformoney buying ink in a container in a containeâ€¦ https://t.co/gpgsCrrhA6,yes,yes,yes
@JaredWyand How Shocking....#sarcasm,yes,yes,yes
"The friendzone is a wonderful place to be. I highly recommend the centre.
  #sarcasm
  ðŸ˜ª",yes,yes,yes
#Sarcasm vs #Patronizing who will win?,yes,no,yes
@alyssahart_ I love #sarcasm,no,no,no
"Not necessary, a big protest from MATs, educational charities, edu influencers surely is imminent #sarcasm https://t.co/nBuAtzSyTw",no,no,no
4 games in 2 years to start his career? Great pick #Bears! #sarcasm https://t.co/fjA2nUd7fF,yes,yes,yes
@refoman50 Yeah...cuz that's happening all over the place. #sarcasm #DiatribeOfARacistAsshole,no,yes,yes
New Chorizo Burrito (spicy chicken/pork sausage) from @ChipotleTweets is terrible. I expect 100 gift cards to continue testing it. #sarcasm,yes,yes,yes
@ATVIAssist and this : https://t.co/yCgklPxWJn (lol...sony info #sarcasm ahahah),no,no,no
Sheep and yarn T-shirt https://t.co/MbgRgdNg3S #sarcasm #funnygift #WitticismsRus #Wool https://t.co/9VehhBdqLj,no,no,no
"If #sarcasm flows in your veins like #blood, you will definitely relate to this #sarcastic #sarcasticpeopleâ€¦ https://t.co/gpCuf5B5bL",no,no,no
Someone missed the #sarcasm. https://t.co/dOjUd32rgs,no,no,no
@IndeedSupport That was #sarcasm. The screening process through your service has been worthless.,no,no,no
"@JtBri Come on Joe,the rules dont apply2 #PROGe,just U&amp;I #sarcasm Can U say hypocrite?Sure I knew U could @katyperry @lenadunham @katewalsh",yes,yes,no
odd... no mention of #HRC here... huh... #sarcasm https://t.co/3u136Dk4jp,yes,yes,no
"@vikramuk you are forgetting about #MadeByGoogle
  We should be paying at least 15k just for that right???
  #sarcasm
  #Pixel #pixelphone",yes,yes,yes
https://t.co/GXiBThbJ7f ... SAME SIDES OF SAME COINS ... #ghazal #humor #hypocrisy #poetry #sarcasm #satire #UnconsciousPeople #poetry,yes,yes,yes
@independent This is obviously why God gave us two eyes #CanIGetAnAmen #Sarcasm #FuckFootball,yes,yes,yes
The political ads this year are very informative and useful. #sarcasm,yes,yes,yes
@Kingofthabear @ESPNNFL yes @NFL @nflcommish let's change rules cause one talent can't control his actions/emotions #sarcasm smh. Such baby.,yes,yes,yes
Hahaha this is so funny I spit my drink out!! @HillaryClinton &gt; wow such enthusiasm from your rallies! #sarcasm https://t.co/GHE4WpxjG2,yes,yes,yes
@MikeLoBurgio @grist what is one stinky sewer to another? #sarcasm,no,no,no
What types of measures are there Dr Elwyn? Ideas #sarcasm #patientpref https://t.co/Vzyyq6ONdo,yes,yes,no
That great 1A supporter ðŸ‘‡#sarcasm https://t.co/Kx3K6HcbpO,no,no,no
Kim K isn't going to feel like going out in public after her ordeal? My life is over. Really. #sarcasm #smellslikealochte,yes,yes,yes
wow thanks for the warning #sarcasm ðŸ˜’ #MACSelena https://t.co/L18EA0xn8M,yes,no,yes
"@DrWhoOnline Did Peter not approve of @Pearlie_mack's joke, I wonder...? #Sarcasm #OrIsIt",yes,yes,no
"Subversive Suburban Satire...
  People Like That... by Gary Newsom https://t.co/9iTREVhNsR
  #IARTG
  #BookBoost
  #Humor
  #Sarcasm",no,no,no
"#AfghanConf welcomed Ghol-be-din Rocketyarâ€™s contribution + his vintage battery acid to women empowerment, progress after 15yrs (#sarcasm)",yes,yes,yes
@LaMonicaBuzz commercial from $wfc? #sarcasm,no,no,no
Plop!! ðŸ˜‚#sarcasm #word https://t.co/hHY0xFgVAy,no,no,no
@brandon_blewis I see how it is... #NoLove #Sarcasm,no,no,no
@JasonAWilkinson Whew! when you say the 'most moral army' I understand it 2 B #sarcasm on your part. Morality is no zionistic trait,no,no,no
@ryanjespersen yeah don't you know that everyone in Alberta thinks the exact same ALL THE TIME. #sarcasm,yes,yes,yes
I love solicitors. #sarcasm,yes,yes,yes
@magnifier661 #sarcasm Dont U just hate when U cant gather fake big crowds 2 maintain illusion of close race (cont) @millie_weaver @infowars,yes,no,yes
F Bomb pendant necklace https://t.co/AmMlNQmH08 #sarcasm #WitticismsRus #funnygift #Jewelry https://t.co/DxeTj995tl,yes,yes,no
Covering the REAL issue in the USA. #sarcasm #isthisreallife #isthisreal #cats #catâ€¦ https://t.co/oCmW09yHuM,yes,yes,yes
And it's not at all to do with hacking breach... Oh no... Definately not. #Sarcasm https://t.co/OJNzYNLZFP,yes,yes,yes
@iTunes thanks for removing all my downloaded purchased songs from my computer so I can waste days redownloading it. ðŸ˜¡#sarcasm,yes,yes,yes
"Other than the internet being absolutely crap (again) today, the internet's been great... #sarcasm @Plusnet @plusnethelp",yes,yes,yes
"I'm so proud to be a @yorkcityfc today, so proud #sarcasm",yes,yes,yes
"Me: Can I use the bathroom?
  Teacher: Why?
  Me: To go unlock the chamber of secrets, why else?
  #schoolstruggles #sarcasm #WorldTeachersDay",yes,yes,yes
@KatyTurNBC You're not looking forward to being white house correspondent in Trump Regime? #sarcasm,yes,yes,yes
"@efekerem @YourAnonNews it seems he has very powerful weapons. he talks, he writes, he has a mind of his own. he has to be in jail #sarcasm",yes,yes,yes
"Good Morning: If you keep hinting things out to me, whatever it is you're trying to do is gonna work.â€¦ https://t.co/JbFqcHTk6G",yes,yes,yes
Being racist to Asians is still funny and acceptable. #sarcasm https://t.co/SdMeNcRG9i,yes,yes,yes
@CPWildcat @tsnmike @SSJWHB Chris great point! never thought of that! #sarcasm,yes,yes,yes
Today has been a fantastic day so far. #sarcasm,yes,yes,yes
New EFL rule will compel at least 75% of fans who attended last home league game to attend #CheckaTradeTrophy ties or face fines. #sarcasm,yes,yes,yes
So glad I'm just now realizing that #gaytwitter is a thing. #sarcasm,yes,yes,yes
"@Steph_I_Will @BBCNewsEnts I thought the women were dudes in his plays? So we should be like men, got it. #sarcasm https://t.co/bnLhBSy07g",yes,yes,yes
"Buzzfeed make fake news???... Naaaa, impossible!! #Sarcasm https://t.co/TsNyIspApF",yes,yes,yes
Trumpâ€™s ex-accountant is a man of MANY words #sarcasm #wtf,yes,yes,yes
"@jessefelder @BI_contributors 
  God help us, who came up with that brilliant idea?
  #sarcasm",yes,yes,yes
"Another all-time high for Amazon. Wonder how long it will be before a Wall Street analyst slaps a $2,000 target on $AMZN? #sarcasm #orisit?",yes,yes,yes
@washingtonpost low testosterone is the reason why Obama supports Clinton. Seems to be a logical explanation to me. #sarcasm,yes,yes,yes
"@CBCNews or as Gibbons would say. The uniformed voters, hahaha. #sarcasm",yes,yes,yes
"@ArvindKejriwal pls take out some tym from ur bzy schdule(#sarcasm), &amp; watch today's #DNA, @sudhirchaudhary will end your pak propaganda!!",yes,yes,yes
October 5 and we have snow I'm so happy. #sarcasm,yes,yes,yes
So do you think Fournette will apply for a Medical Redshirt? I'm sure he'd qualify. One more year of seasoning would serve him well #sarcasm,no,no,no
Looking forward to getting two cavities filled today! #sarcasm,no,yes,yes
On the plus side Ty Kelly is batting 1.000 vs Bumgarner so maybe TC is on to something. #sarcasm. https://t.co/Y1AaTYO38l,yes,no,yes
"@BrockWHarrison @RestaurantsCA But, but these ppl need a living wage paid for so they can enjoy what you have #sarcasm #abpoli #ndp",yes,yes,yes
"@JulianeMeyerK @Reuters Those jihadists will never resell weapons, use them against civilian planes, transfer them to #AlQaeda ==&gt; #sarcasm",yes,no,no
@jntrky you mean yell at old men. #sarcasm,yes,yes,no
".@danpfeiffer ""Wow. Pence looked so polished by lying everything Trump said. Now I am gonna forget all about Trump &amp; vote for him"" #sarcasm",yes,yes,yes
SO much fun listening to SEC and ACC coaches teleconferences. These guys are so forthcoming with new and exciting information! #sarcasm,yes,yes,yes
"@JackOfKnaves @MoMohammad2 @Polygon Maybe because it's French, the install is bigger being with the language and all. #sarcasm",yes,yes,yes
"..five weeks right there. Well, congratulations to you, Jean. #Sarcasm #letsgetplacesj",yes,no,yes
Black soul coffee mug https://t.co/xViCQvTUL3 #funnygift #WitticismsRus #sarcasm #Funny_coffee_mug https://t.co/AHtPsbFcq0,no,no,no
#MyNavratri with beef eating! #Sarcasm https://t.co/efoW3N4R4w,yes,no,yes
@BERollins I treat my dog better than my stepkids. Ok maybe not really. But sometimes I want to lol! They have too many opinions! #sarcasm,yes,yes,yes
"I chose sarcasm when I realised life is too serious to be serious.
  #sarcasm #funny #laugh",yes,no,yes
So...that GOP Latino outreach is going well! #Sarcasm #OutOfTouch #DontBooVote https://t.co/vN2wK6IC81,no,no,no
@chrislhayes There you go again with your riot-causing rhetoric. #Sarcasm #Inners,yes,no,yes
"Yeah, ok... He has such a believable way about him, doesn't he folks? #SarcasmðŸ˜’ https://t.co/i6zWpoKJgA",yes,no,yes
"@AnthonyatIBM Oh, I'm sure they're just trying to keep us safe...
  #Sarcasm",yes,yes,yes
I am Taken. #Sarcasm #taken https://t.co/BJWxRkWa0M,yes,no,yes
@McCulloughTimes but but what if the orioles have the lead later in the. Game?.?.?. #sarcasm,no,yes,yes
"Good traffic day. 
  #sarcasm https://t.co/Ea6fM3XnER https://t.co/9xfdtHtJVy",yes,yes,yes
@Harlan He along with hubby Bill oughta help her #sarcasm,yes,no,yes
@WesleyRickard he built an ice skating rink so now he should be President! Ice skating rinks for all cities! #sarcasm #nevertrump,yes,no,yes
@WashCoScanner why? Wouldn't that end the great clown incident of 2016 - start shooting them and people will stop dressing as them #sarcasm,yes,yes,yes
@ChubbDonnelly top banter you're the 1st person to say that #SARCASM,yes,no,yes
"#sarcasm forsale
  
  note:
  open to phd only
  rasuah accept
  
  PM **pi mampus",yes,yes,no
"This the fact.
  Always follow your dreams which remunerate you. 
  #sarcasm #motivation https://t.co/vEJolgIxxb",yes,yes,yes
@nprpolitics thank you for being so objective in your coverage #sarcasm,yes,yes,yes
Twitter this am #sarcasm https://t.co/rGgsNDhErX,yes,yes,no
@MichaelSkolnik @samswey sounds like a legit strategy #Sarcasm,yes,yes,no
@theweeklytv oh no! My kids caught Muslim from eating #Vegemite quick tell @corybernardi his fears are #true #please #note #sarcasm,yes,yes,no
Don't be such an aromatic cancel lumberman... https://t.co/eqJyrcoxYC #sarcasm #justjokes #puns,yes,yes,no
"You know, if it weren't for those pushy American lions, Chasmaporthetes could have been runnin' the joint. #Sarcasm https://t.co/07SS3c2vTb",yes,yes,no
@oneplus the delivery time of 5 weeks when the helpdesk says 10 days. Definitely my favorite feature. #sarcasm,yes,yes,yes
Just think of how much @realDonaldTrump would be worth if he was a good businessman. #sarcasm #TrumpPence16,yes,yes,yes
And then post it on social media #Fail #sarcasm https://t.co/fvINRIv6w4,yes,yes,yes
I try to use #sarcasm instead of #punching you in the throat. So don't push it!,yes,no,yes
Pizza coffee mug https://t.co/MBYc6q4L9c #funnygift #WitticismsRus #sarcasm #I_love_pizza https://t.co/GIRZt1e1dY,no,no,no
#ThatMexicanThing @realDonaldTrump Idea of Hispanic outreach is celebrating with a Taco bowl out of Trump tower... How quaint...#Sarcasm,yes,yes,yes
@harshkaur2 @Yulghar @Fauji_Doctor @despondent2016 yup looks like a desperate Pakistani #sarcasm https://t.co/hzEmVouylh,no,yes,yes
Thanks @TTUBusDriver this is the first time I've been late this semester. Appreciate it bro. #sarcasm https://t.co/zpEupQ7Fa0,yes,yes,yes
"@JasonWolf Gee, as a #Titans fan I'm just thrilled for him! #sarcasm",yes,yes,no
"It's good to know my taxes are supporting @realDonaldTrump. I mean, he needs it more than the poor/disadvantaged/homeless/needy. #sarcasm",yes,yes,yes
@GilbyGilson @swheelscpa and we all know how amazing the college kids writing for SA are #sarcasm,yes,yes,yes
The saga of Red continues on a NEW @MRetailSlave ... why isn't this #Podcast in your subscription list? Fix that!â€¦ https://t.co/GRe1ZXBqnC,yes,yes,yes
"@rudepundit Yeah, but you do realize there's no proof that any Mexicans made it past that wall. So there's that. #Sarcasm",yes,yes,yes
@dalton108 @washingtonpost Isn't it obvious? It's because President Obama is the founder of ISIS. #RepublicanPivot #Sarcasm,yes,yes,yes
@gmknowles @nytimes But we got to remember there are no such bias in this world same as racism #Sarcasm,yes,yes,yes
Blue Jays/Rangers...The two classiest teams playing each other for the ALDS. Shall be interesting. #sarcasm,yes,yes,yes
"10 Days to Lose 100 Friends: A Sarcastic Facebook Post Series â€” Read: https://t.co/v4dUaJR28p
  
  #Facebook #Sarcasmâ€¦ https://t.co/mZqNtICIS3",yes,yes,yes
@cthagod ...LMAO!!!! Stop it really.. #sarcasm,yes,yes,yes
Don't you love it when companies take a perfectly working product and slap a big fat gimmick into it? Nothing gets me more excited. #sarcasm,yes,yes,yes
Omg whhhhhhhyyyyy! ðŸ˜#sarcasm https://t.co/9gZ8jd29KY,yes,yes,no
@BiasedGirl Oh great. #sarcasm,yes,yes,yes
@esseeeayeenn #sarcasm surely. This is pretty awesome too especially if you like #craftbeer.The men fromâ€¦ https://t.co/iQhl2OOu6W,yes,yes,yes
Thanks McCrory! #sarcasm https://t.co/iLzwn51vtH,no,no,no
@GovPenceIN It's possible for IS members to insert themselves into citizenry through a fuckin' airport. Let's start there. #sarcasm,yes,yes,yes
"@GUCCIFER_2 @argmachinetv Oh, but wait! Media reporting this is fake. Didn't really happen. #sarcasm",yes,yes,yes
Another wonderful commute to LI via @LIRR #sarcasm #haventmovedfor21minutes #railconditionsonrailconditions ðŸ˜’ðŸ™„ðŸ˜’,yes,yes,yes
"Just one of those days where I had to drag myself out of bed, so I know it's going to be a good one...
  #sarcasm",yes,yes,yes
Great job class of 2017 #keepwinning #united #sarcasm,no,no,no
"@businessinsider Yes. This is how everyone wants to look when they fly.
  #Not
  #Sarcasm",yes,no,yes
@sharonhough So we should give them more money to help Haiti! #sarcasm @bad_bad_bernie @ActualFlatticus,yes,yes,yes
@coryprovost @deray @NYDailyNews - just look how white they are. They can't go to jail! ðŸ™„ #sarcasm #embarassing,yes,yes,yes
@971theticketxyt @burchie_kid Lucky Us. #Tigers #Sarcasm,no,no,no
Hurrah! ðŸ˜€ #sarcasm https://t.co/0nHVjxsiHF,no,no,no
Smart' people not realising the rules of universal suffrage then? Oh how elites know best #sarcasm https://t.co/e5TmRnzFgU,yes,yes,no
I love my own farts T-shirt https://t.co/JkSoFQ0BB3 #funnygift #sarcasm #Graphic_tee https://t.co/NFjmov2f1L,yes,yes,yes
Theresa May's plans make it look like she's doing an inner coup. I say that with only traces of #sarcasm. Actually I'm alarmed.,yes,no,yes
"""Modi should have given credit of surgical strikes to madam Sonia Gandhi""---Arvind Kejriwal
  
  #Sarcasm",yes,yes,yes
Ahh may be! #sarcasm #WednesdayWisdom https://t.co/8y3dcjqgsP,no,no,no
Sometimes I just want to punch Twitter in the face ;) The winky means I'm sexist. #sarcasm,yes,yes,yes
Christmas Card? https://t.co/Wb4TqqxI0r #sarcasm #WednesdayWisdom #wednesdaythoughts #wednesday #christmasgiftguideâ€¦ https://t.co/RPue2FGn5t,no,no,no
"@Miss_Binky it's two, not too silly #Sarcasm",yes,no,yes
"All #bullying people disguise their words as #sarcasm , ""I WAS ONLY KIDDING "",#NeverTrump always does it ! .. https://t.co/VNxbct8ssH â€¦",yes,yes,yes
"@RonMcDonald1 #CleanWater , who would have thought that was important? ( #sarcasm ) https://t.co/QyaEetoWjg",yes,yes,no
.... And it's not even 9a. #mylife #wednesdaywisdom #sarcasm #dailygrind #conversationpeaceâ€¦ https://t.co/upqPoL8YzR,no,no,no
Just knew what is #sarcasm and also knew that I'm doing the same ever since I'm kid.,yes,no,yes
Ellie Goulding - Army. This is for the thief and her sidekick from yesterday. #friends #loyalty #sarcasm https://t.co/bhndiwltKo,yes,yes,no
Yay it only took me an hour and a half to get from my front door to work today #buslife #sarcasm #nobusestowork,yes,yes,yes
@AKsoooooCAL @RyanConner69 truth and statistics are racist..... #sarcasm,yes,yes,yes
"@JCAinfo @X123Alpha WHAT?!?!? You mean Israel give away land in hopes of peace with Pally's?!?! I'm shocked - totally shocked 
  
  #Sarcasm",yes,yes,yes
@PioneerPress just took this blurb from CHI- doesn't even say when the finals are! #AtLeastTheyGotTeamsRight ?â€¦ https://t.co/hLjfX6cDkz,yes,yes,yes
"All #bullying people disguise their words as #sarcasm , they say ""I WAS ONLY KIDDING "",#NeverTrump has said it ! https://t.co/xtjnCFFwXW..",yes,yes,yes
"""Peace through strength"" ... That's specific. So enlightening, thank you. #sarcasm https://t.co/BSVxT90qz0",yes,yes,yes
"Amazed to see people who were using background data restriction on there mobile now stream live match's on hotstar
  #Jio 
  #sarcasm",yes,yes,yes
@thedailybeast Not true. Here is the snapshot of what Russian hackers have uncovered on Hillary's PC #lol #sarcasm https://t.co/zkGt63A4yl,yes,yes,yes
8th week ðŸ’š #sarcasm,no,no,no
Middle finger coffee mug https://t.co/p2f5OMZtGf #sarcasm #funnygift #F_off_mug https://t.co/70Ff01LC9J,no,no,no
Hey @MikeAndMike @Espngreeny can y'all talk about @OBJ_3 more please? #sarcasm #kickadeadhorse,yes,yes,no
Best group ever #sarcasm https://t.co/mOyFoZe57y,no,no,no
Standing ovation? That's a surprise...I didn't expect that #sarcasm #TheresaMay,yes,yes,yes
Sa kangkungan malamang. I think we are tired being called third world it's about time we hit fourth #sarcasm https://t.co/uddKyRwH0n,yes,no,yes
https://t.co/RCqJEURZRf Out of the frying pan..... well done @number10gov. #sarcasm.,no,no,no
"@FOX29philly referencing the Pence supporter this morning: wow, she was pleasant...#sarcasm",yes,no,yes
"As long as (saving them) doesn't disrupt progress, right? #Priorities #WeHaveInfiniteLivablePlanetsToChooseFromâ€¦ https://t.co/H9UuecOpYh",yes,no,no
Chandrika Shubham : A reserved chit-chatter: Age Factor https://t.co/p3bHpv6Q9S #age #old #meditation #sarcasm,no,no,no
that's simply wonderful.. oh I love it! #sarcasm https://t.co/1IZtigrPQX,yes,no,yes
Army should have pre-informed #BarkhaDutt about #SurgicalStrike. So that it could have avoided the burden of proving it! #sarcasm,yes,yes,yes
@WWLTV @ShebaTurk OMG she solved the world hunger problem! #sarcasm,yes,yes,no
The amount of #hyprocisy that gets banded about is amazing isn't it #sarcasm #dianeabbott #Labour #NHS https://t.co/xYKNaZ3fI8,yes,yes,yes
"@SEPTA I'm late for my early morning class because your driver is having a bad morning. Now I'm having a bad morning, thank you #sarcasm.",yes,yes,yes
Finally got a parking spot. Just one of the many perks of my job. #sarcasm #whatawaste https://t.co/I2ZTqznrx6,yes,yes,yes
"Tip of a day: If a cute girl sends you a friend's request...
  
  Delete him :P
  #sarcasm #avoidchutiyapa",yes,yes,yes
"All #bullying people disguise their words as #sarcasm , they say ""I WAS ONLY KIDDING "",#NeverTrump has said it ! https://t.co/xtjnCFFwXW",yes,yes,yes
"It's said that #sarcasm is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!""",yes,no,yes
#paycheck anyone ? Lol #sarcasm the story of all the employees ever. Who is with me on this. #socialmedia #retweetâ€¦ https://t.co/ZkRc6gkwJz,yes,yes,yes
That's what she said pendant neckalce https://t.co/a7loNSFQ7M #funnygift #sarcasm #Silver_necklave https://t.co/ikS3EtElpb,no,no,no
"More Zika mosquitoes in Miami Beach--6 new local infections: love wetlands. #sarcasm
  
  https://t.co/WdABABltvj",yes,no,yes
I love school so much #sarcasm,no,yes,yes
@Berkland4 People would never do that because of money! #sarcasm,no,yes,no
"No #Sarcasm, right? We know he helped himself more than #Trump https://t.co/5eWA8YXlsG",yes,yes,yes
"If @CBSNews reports this, then it must be true #sarcasm #MakeAmericaGreatAgain https://t.co/wsvo1Eo0t4",yes,yes,yes
Cause taking someone's lover is just too cool &amp; savage. #sarcasm ðŸ˜Š,yes,yes,yes
.@imc_televizyonu's property has been handed over to state owned TRT. That's one way to channel funding to TRT.â€¦ https://t.co/qbpo6ZiPlL,yes,no,no
"i have this wonderful (#sarcasm) genetic disorder that makes my hands shake constantly, especially when performing delicate fine motor tasks",yes,yes,yes
PRN Spiriva? Never happens in ACT. #sarcasm #wephoz https://t.co/9gdwtw58BP,no,no,no
@JM0FF27 @Mike9229 anybody get the score of last night's Phillies game? #sarcasm #nextyear,yes,no,no
"""New love is so beautiful, time just makes it ugly."" #sarcasm",yes,yes,no
".@SarahPalinUSA .@INJO sarcasm or just another dumb tweet, hard to tell? There are only ""good cops"", I have never seen a bad cop (#sarcasm)",yes,yes,yes
"Wow, the attitude from some of the @Pret team in Waterloo is pretty *exceptional* today #sarcasm Rare poor service from you guys.",yes,yes,yes
Wasn't obama showing love when he was FORCED back out of Air Force 1 to salute the soldier outside his airplane aftâ€¦ https://t.co/S0pLS4sfnu,yes,yes,yes
"Because Japanese don't need insurance they outlive others, even tortoise #sarcasm https://t.co/qfywfZdhZj",yes,yes,yes
"I am never normal ðŸ˜ˆðŸðŸ‘°ðŸ˜‹ðŸ™ƒ
  
  #9gag #weirdo #sarcasm #postoftheday #lifegoals #beyourself #gigglesâ€¦ https://t.co/yY7bWA6L4V",no,no,no
Average size cock coffee mug https://t.co/EoXYjhQwho #sarcasm #funnygift #Average_size https://t.co/5QpNLZ06Ld,no,no,no
Finished packing at midnight and woke up at 3AM for our flight to St. Thomas. Sleep is so underrated. #sarcasm,yes,yes,no
"Man, so glad for the hope &amp; change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP https://t.co/zVCJr5pFm4",no,no,no
"@ShirishKunder LOL .. have been reading since you first tweeted about. I get your #sarcasm 
  but ppl actually searched for it. haha",yes,no,yes
Does this not make you feel that your kids safety are priority for BO? #sarcasm https://t.co/4j3w7gsIiM,no,no,no
"@Delta first flight of the day delayed at MBS forced to miss my next flight and have a 3+ hour layover now, thanks! #sarcasm",yes,yes,yes
"Woowww napaka supportiveðŸ™„ðŸ™„ THANK YOU SO MUCH..
  #smh #sarcasm",yes,no,yes
"What nonsense! ""We deny these baseless charges by India. They were not nine. Pakistan is a victim of terrorism""â€¦ https://t.co/CWMki77jxa",no,yes,yes
@UCT_news wow you very helpful. Thanks so much! I mean I didn't know that! #sarcasm,yes,yes,yes
Biggest down fall of a silent admirer......they are always silent and anonymous ðŸ˜œðŸ˜œðŸ˜œðŸ˜œ have courage or get a life #sarcasm,yes,yes,yes
"My celebrity crush!
  @thethirdoct ðŸ‘ˆ follow us #sarcasm https://t.co/p2KnzZJfgK",no,no,no
"More special characters and even a #sarcasm sign. #inktober number 4
  
  #inktober2016 #typography #graphicdesignâ€¦ https://t.co/dI0sKangkh",yes,yes,no
@Lawrence @GovPenceIN @hughhewitt @MSNBC Wow that's not like Hugh Hewitt to mangle the truth #Sarcasm #Pence2020 #DonTheCon #ImWithHer,yes,yes,no
2 weeks until I can legally adopt a child and also supervise a learner driver. here's to being 21 in the UK #cheers :-) #sarcasm,yes,yes,yes
This madness needs to stop. #Capitalism #Sarcasm https://t.co/3jwrPVAPDe,no,no,no
"@TwitterTVAU @DeepWaterSBS @SBS 
  They threw him in the water.
  #ThrillingTelevision #sarcasm",yes,yes,no
That's what she said coffee mug https://t.co/uLPEncB6pm #WitticismsRus #sarcasm #Novelty_coffee_mug https://t.co/0VijTMS53z,no,no,no
"@kurtmitchell 
  @missdanibagel
  The future is bright ! #sarcasm 
  
  Bhiko didn't die for this.
  Mandela didn't live for this.
  #FeesMustFall",yes,no,yes
"Top quality journalism from my local ""news""paper the @BuryTimes #sarcasm #LowStandards https://t.co/9F0psSYTj1",yes,yes,no
"@ggreenwald @AfroLibertarian @theintercept 
  We need to get a Democrat into the oval office ASAP!
  #sarcasm",yes,yes,yes
"#Sarcasm
  
  Wondering kan... those on the other side a.k.a. West Malaysian or Malayans or Semenanjung Malaysia... https://t.co/N7GcL81vcz",yes,yes,no
Good news everyone! It's just over a month before we potentially have Trump as president and a little over two months before WW3 #sarcasm,yes,yes,yes
"@shaneperrysr thanks for answering my question, I really appreciate it. #sarcasm",yes,yes,no
So cool that we had enough money to fly around in circles on top of Coron for an hour and then go back home. #sarcasm,yes,yes,no
"@AmberRudd_MP This is why women are better in politics. Compassion, common sense and a sense of fairness. #toryconference #sarcasm",yes,yes,no
"""thanks"" for czech clients, #professionalism and #responsibility at 1st place ... ( #sarcasm )",yes,yes,no
"@mgerrydoyle I'm sure that capitalism will bring democracy, openness and freedom. It's only been 40 years; be patient. #sarcasm",yes,yes,yes
Squid T-shirt https://t.co/SaLRws5ZXe #WitticismsRus #funnygift #sarcasm #Funny_t_shirt https://t.co/c63T72LEzJ,no,no,no
Bwahahahaha. Sleep schedule. I have none. Repost from @Classical_Memes #funny #sarcasm #humorâ€¦ https://t.co/C2rJTsGxuQ,yes,no,yes
"But we can ""hold her accountable"" for this kinda stuff, right? ðŸ˜’ #sarcasm #DontPlayYourself #Election2016 https://t.co/zfl1gPmRyY",yes,no,yes
